Code,Period,LineType,Key_CodePeriod
CHN 04,2019-20,Dashed,CHN 042019-20
CHN 05,2019-20,Dashed,CHN 052019-20
CHN 06,2019-20,Dashed,CHN 062019-20
CHN 07,2019-20,Dashed,CHN 072019-20
CHN 12a,2019-20,Dashed,CHN 12a2019-20
CHN 12b,2019-20,Dashed,CHN 12b2019-20
CHN 12c,2019-20,Dashed,CHN 12c2019-20
CHN 12d,2019-20,Dashed,CHN 12d2019-20
CHN 12e,2019-20,Dashed,CHN 12e2019-20
CHN 12f,2019-20,Dashed,CHN 12f2019-20
CHN 04,2020-21,Dashed,CHN 042020-21
CHN 05,2020-21,Dashed,CHN 052020-21
CHN 06,2020-21,Dashed,CHN 062020-21
CHN 07,2020-21,Dashed,CHN 072020-21
CHN 12a,2020-21,Dashed,CHN 12a2020-21
CHN 12b,2020-21,Dashed,CHN 12b2020-21
CHN 12c,2020-21,Dashed,CHN 12c2020-21
CHN 12d,2020-21,Dashed,CHN 12d2020-21
CHN 12e,2020-21,Dashed,CHN 12e2020-21
CHN 12f,2020-21,Dashed,CHN 12f2020-21
CHN 04,2021-22,Dashed,CHN 042021-22
CHN 05,2021-22,Dashed,CHN 052021-22
CHN 06,2021-22,Dashed,CHN 062021-22
CHN 07,2021-22,Dashed,CHN 072021-22
CHN 12a,2021-22,Dashed,CHN 12a2021-22
CHN 12b,2021-22,Dashed,CHN 12b2021-22
CHN 12c,2021-22,Dashed,CHN 12c2021-22
CHN 12d,2021-22,Dashed,CHN 12d2021-22
CHN 12e,2021-22,Dashed,CHN 12e2021-22
CHN 12f,2021-22,Dashed,CHN 12f2021-22
CHN 04,2022-23,Dashed,CHN 042022-23
CHN 05,2022-23,Dashed,CHN 052022-23
CHN 06,2022-23,Dashed,CHN 062022-23
CHN 07,2022-23,Dashed,CHN 072022-23
CHN 12a,2022-23,Dashed,CHN 12a2022-23
CHN 12b,2022-23,Dashed,CHN 12b2022-23
CHN 12c,2022-23,Dashed,CHN 12c2022-23
CHN 12d,2022-23,Dashed,CHN 12d2022-23
CHN 12e,2022-23,Dashed,CHN 12e2022-23
CHN 12f,2022-23,Dashed,CHN 12f2022-23
