Key_CodePeriodDType,Code,Period,DataType,Family_Group,Value_FG_Mean,Numerator_FG_Mean,Denominator_FG_Mean,Value_FG_Median,Numerator_FG_Median,Denominator_FG_Median,FG_NumDenAv
C&L 012010-11Cash_Annual,C&L 01,2010-11,Cash_Annual,Family Group 1,3.01125,3076125.0,923124.125,3.245,1955000.0,695444.0,3.3322983515353366
C&L 012010-11Real_Annual,C&L 01,2010-11,Real_Annual,Family Group 1,4.35875,4452654.1125,923124.125,4.6971,2829839.1,695444.0,4.823461972137279
C&L 012011-12Cash_Annual,C&L 01,2011-12,Cash_Annual,Family Group 1,3.0387500000000003,3213375.0,1036476.0,2.865,1825500.0,707515.5,3.1002888634179664
C&L 012011-12Real_Annual,C&L 01,2011-12,Real_Annual,Family Group 1,4.3066,4554096.4375,1036476.0,4.06035,2587156.2,707515.5,4.393827196674115
C&L 012012-13Cash_Annual,C&L 01,2012-13,Cash_Annual,Family Group 1,2.77125,3172625.0,1065939.0,2.6050000000000004,1873000.0,714443.0,2.9763663774381084
C&L 012012-13Real_Annual,C&L 01,2012-13,Real_Annual,Family Group 1,3.860575,4419719.600000001,1065939.0,3.629,2609238.3499999996,714443.0,4.146315689734592
C&L 012013-14Cash_Annual,C&L 01,2013-14,Cash_Annual,Family Group 1,2.73125,2953500.0,1040247.5,2.645,2147000.0,687793.5,2.8392281644512485
C&L 012013-14Real_Annual,C&L 01,2013-14,Real_Annual,Family Group 1,3.7273,4030607.2375,1040247.5,3.6096000000000004,2929986.0,687793.5,3.8746617872189066
C&L 012014-15Cash_Annual,C&L 01,2014-15,Cash_Annual,Family Group 1,2.95875,3050750.0,993567.375,2.905,2018000.0,689040.0,3.070501383965028
C&L 012014-15Real_Annual,C&L 01,2014-15,Real_Annual,Family Group 1,3.9814749999999997,4105293.0375,993567.375,3.9091500000000003,2715555.6500000004,689040.0,4.131871819462671
C&L 012015-16Cash_Annual,C&L 01,2015-16,Cash_Annual,Family Group 1,2.87,2939000.0,1012156.625,3.04,2015500.0,644624.5,2.9037007982830723
C&L 012015-16Real_Annual,C&L 01,2015-16,Real_Annual,Family Group 1,3.835425,3927647.8875,1012156.625,4.06265,2693492.45,644624.5,3.8804744152121717
C&L 012016-17Cash_Annual,C&L 01,2016-17,Cash_Annual,Family Group 1,2.7287500000000002,2994875.0,1006353.5,3.015,2099500.0,636193.5,2.9759671924428144
C&L 012016-17Real_Annual,C&L 01,2016-17,Real_Annual,Family Group 1,3.574975,3923660.3375,1006353.5,3.95,2750607.25,636193.5,3.8988887478405947
C&L 012017-18Cash_Annual,C&L 01,2017-18,Cash_Annual,Family Group 1,2.3475,2485000.0,1072249.0,2.7249999999999996,2094500.0,677875.5,2.317558701383727
C&L 012017-18Real_Annual,C&L 01,2017-18,Real_Annual,Family Group 1,3.0370625,3214951.5375,1072249.0,3.52545,2709744.85,677875.5,2.9983255172072907
C&L 012018-19Cash_Annual,C&L 01,2018-19,Cash_Annual,Family Group 1,2.35125,2535875.0,1100968.875,2.7199999999999998,2065000.0,743330.5,2.303312162208037
C&L 012018-19Real_Annual,C&L 01,2018-19,Real_Annual,Family Group 1,2.974125,3207658.025,1100968.875,3.44055,2612042.7,743330.5,2.913486564277305
C&L 012019-20Cash_Annual,C&L 01,2019-20,Cash_Annual,Family Group 1,2.37875,2728500.0,1115131.0,2.6100000000000003,1866500.0,757124.5,2.4467977304908572
C&L 012019-20Real_Annual,C&L 01,2019-20,Real_Annual,Family Group 1,2.93155,3362586.25,1115131.0,3.21655,2300262.85,757124.5,3.0154181436979153
C&L 012020-21Cash_Annual,C&L 01,2020-21,Cash_Annual,Family Group 1,23.37,3253500.0,144847.375,26.555,1776000.0,134477.0,22.461573777225855
C&L 012020-21Real_Annual,C&L 01,2020-21,Real_Annual,Family Group 1,28.0515,3905245.4625000004,144847.375,31.874499999999998,2131770.7,134477.0,26.96110621611196
