Key_CodePeriodDType,Key_CodePeriodFamilyGroupDType,Key_CodePeriodLADType,Code,LocalAuthority,Period,Value,Numerator,Denominator,FamilyRank,FamilyPct,ScotRank,ScotPct,DataType,Iter_CodeLADType,Previous_Row,First_Row,Changes
CORP 092018-19;Q1Real_Quarterly,CORP 092018-19;Q1Family Group 4Real_Quarterly,CORP 092018-19;Q1Aberdeen CityReal_Quarterly,CORP 09,Aberdeen City,2018-19;Q1,0.98,2985.0,3035.0,3.0,0.375,10.0,0.3125,Real_Quarterly,CORP 09Aberdeen CityReal_Quarterly,null,null,null
CORP 092018-19;Q2Real_Quarterly,CORP 092018-19;Q2Family Group 4Real_Quarterly,CORP 092018-19;Q2Aberdeen CityReal_Quarterly,CORP 09,Aberdeen City,2018-19;Q2,0.99,2765.0,2800.0,2.0,0.25,5.0,0.15625,Real_Quarterly,CORP 09Aberdeen CityReal_Quarterly,"{""Value"": 0.98, ""Numerator"": 2985.0, ""Denominator"": 3035.0, ""ScotRank"": 10.0, ""ScotPct"": 0.3125, ""FamilyRank"": 3.0, ""FamilyPct"": 0.375}","{""Value"": 0.98, ""Numerator"": 2985.0, ""Denominator"": 3035.0, ""ScotRank"": 10.0, ""ScotPct"": 0.3125, ""FamilyRank"": 3.0, ""FamilyPct"": 0.375}","{""ScotRank_ChangeSincePrevious"": 5.0, ""ScotPct_ChangeSincePrevious"": 0.15625, ""FamilyRank_ChangeSincePrevious"": 1.0, ""FamilyPct_ChangeSincePrevious"": 0.125, ""ScotRank_ChangeSinceFirst"": 5.0, ""ScotPct_ChangeSinceFirst"": 0.15625, ""FamilyRank_ChangeSinceFirst"": 1.0, ""FamilyPct_ChangeSinceFirst"": 0.125, ""Value_ChangeSincePrevious"": 0.010000000000000009, ""Numerator_ChangeSincePrevious"": -220.0, ""Denominator_ChangeSincePrevious"": -235.0, ""Value_ChangeSinceFirst"": 0.010000000000000009, ""Numerator_ChangeSinceFirst"": -220.0, ""Denominator_ChangeSinceFirst"": -235.0, ""PercentChange_AimAdjusted_SincePrevious"": 0.010000000000000009, ""PercentChange_AimAdjusted_SinceFirst"": 0.010000000000000009}"
CORP 092018-19;Q3Real_Quarterly,CORP 092018-19;Q3Family Group 4Real_Quarterly,CORP 092018-19;Q3Aberdeen CityReal_Quarterly,CORP 09,Aberdeen City,2018-19;Q3,0.98,2590.0,2645.0,4.0,0.5,14.0,0.4375,Real_Quarterly,CORP 09Aberdeen CityReal_Quarterly,"{""Value"": 0.99, ""Numerator"": 2765.0, ""Denominator"": 2800.0, ""ScotRank"": 5.0, ""ScotPct"": 0.15625, ""FamilyRank"": 2.0, ""FamilyPct"": 0.25}","{""Value"": 0.98, ""Numerator"": 2985.0, ""Denominator"": 3035.0, ""ScotRank"": 10.0, ""ScotPct"": 0.3125, ""FamilyRank"": 3.0, ""FamilyPct"": 0.375}","{""ScotRank_ChangeSincePrevious"": -9.0, ""ScotPct_ChangeSincePrevious"": -0.28125, ""FamilyRank_ChangeSincePrevious"": -2.0, ""FamilyPct_ChangeSincePrevious"": -0.25, ""ScotRank_ChangeSinceFirst"": -4.0, ""ScotPct_ChangeSinceFirst"": -0.125, ""FamilyRank_ChangeSinceFirst"": -1.0, ""FamilyPct_ChangeSinceFirst"": -0.125, ""Value_ChangeSincePrevious"": -0.010000000000000009, ""Numerator_ChangeSincePrevious"": -175.0, ""Denominator_ChangeSincePrevious"": -155.0, ""Value_ChangeSinceFirst"": 0.0, ""Numerator_ChangeSinceFirst"": -395.0, ""Denominator_ChangeSinceFirst"": -390.0, ""PercentChange_AimAdjusted_SincePrevious"": -0.010000000000000009, ""PercentChange_AimAdjusted_SinceFirst"": 0.0}"
CORP 092018-19;Q4Real_Quarterly,CORP 092018-19;Q4Family Group 4Real_Quarterly,CORP 092018-19;Q4Aberdeen CityReal_Quarterly,CORP 09,Aberdeen City,2018-19;Q4,0.98,3405.0,3460.0,4.0,0.5,14.0,0.4375,Real_Quarterly,CORP 09Aberdeen CityReal_Quarterly,"{""Value"": 0.98, ""Numerator"": 2590.0, ""Denominator"": 2645.0, ""ScotRank"": 14.0, ""ScotPct"": 0.4375, ""FamilyRank"": 4.0, ""FamilyPct"": 0.5}","{""Value"": 0.98, ""Numerator"": 2985.0, ""Denominator"": 3035.0, ""ScotRank"": 10.0, ""ScotPct"": 0.3125, ""FamilyRank"": 3.0, ""FamilyPct"": 0.375}","{""ScotRank_ChangeSincePrevious"": -0.0, ""ScotPct_ChangeSincePrevious"": -0.0, ""FamilyRank_ChangeSincePrevious"": -0.0, ""FamilyPct_ChangeSincePrevious"": -0.0, ""ScotRank_ChangeSinceFirst"": -4.0, ""ScotPct_ChangeSinceFirst"": -0.125, ""FamilyRank_ChangeSinceFirst"": -1.0, ""FamilyPct_ChangeSinceFirst"": -0.125, ""Value_ChangeSincePrevious"": 0.0, ""Numerator_ChangeSincePrevious"": 815.0, ""Denominator_ChangeSincePrevious"": 815.0, ""Value_ChangeSinceFirst"": 0.0, ""Numerator_ChangeSinceFirst"": 420.0, ""Denominator_ChangeSinceFirst"": 425.0, ""PercentChange_AimAdjusted_SincePrevious"": 0.0, ""PercentChange_AimAdjusted_SinceFirst"": 0.0}"
CORP 092019-20;Q1Real_Quarterly,CORP 092019-20;Q1Family Group 4Real_Quarterly,CORP 092019-20;Q1Aberdeen CityReal_Quarterly,CORP 09,Aberdeen City,2019-20;Q1,0.98,3190.0,3245.0,4.0,0.5,13.0,0.40625,Real_Quarterly,CORP 09Aberdeen CityReal_Quarterly,"{""Value"": 0.98, ""Numerator"": 3405.0, ""Denominator"": 3460.0, ""ScotRank"": 14.0, ""ScotPct"": 0.4375, ""FamilyRank"": 4.0, ""FamilyPct"": 0.5}","{""Value"": 0.98, ""Numerator"": 2985.0, ""Denominator"": 3035.0, ""ScotRank"": 10.0, ""ScotPct"": 0.3125, ""FamilyRank"": 3.0, ""FamilyPct"": 0.375}","{""ScotRank_ChangeSincePrevious"": 1.0, ""ScotPct_ChangeSincePrevious"": 0.03125, ""FamilyRank_ChangeSincePrevious"": -0.0, ""FamilyPct_ChangeSincePrevious"": -0.0, ""ScotRank_ChangeSinceFirst"": -3.0, ""ScotPct_ChangeSinceFirst"": -0.09375, ""FamilyRank_ChangeSinceFirst"": -1.0, ""FamilyPct_ChangeSinceFirst"": -0.125, ""Value_ChangeSincePrevious"": 0.0, ""Numerator_ChangeSincePrevious"": -215.0, ""Denominator_ChangeSincePrevious"": -215.0, ""Value_ChangeSinceFirst"": 0.0, ""Numerator_ChangeSinceFirst"": 205.0, ""Denominator_ChangeSinceFirst"": 210.0, ""PercentChange_AimAdjusted_SincePrevious"": 0.0, ""PercentChange_AimAdjusted_SinceFirst"": 0.0}"
CORP 092019-20;Q2Real_Quarterly,CORP 092019-20;Q2Family Group 4Real_Quarterly,CORP 092019-20;Q2Aberdeen CityReal_Quarterly,CORP 09,Aberdeen City,2019-20;Q2,0.99,2990.0,3035.0,2.0,0.25,9.0,0.28125,Real_Quarterly,CORP 09Aberdeen CityReal_Quarterly,"{""Value"": 0.98, ""Numerator"": 3190.0, ""Denominator"": 3245.0, ""ScotRank"": 13.0, ""ScotPct"": 0.40625, ""FamilyRank"": 4.0, ""FamilyPct"": 0.5}","{""Value"": 0.98, ""Numerator"": 2985.0, ""Denominator"": 3035.0, ""ScotRank"": 10.0, ""ScotPct"": 0.3125, ""FamilyRank"": 3.0, ""FamilyPct"": 0.375}","{""ScotRank_ChangeSincePrevious"": 4.0, ""ScotPct_ChangeSincePrevious"": 0.125, ""FamilyRank_ChangeSincePrevious"": 2.0, ""FamilyPct_ChangeSincePrevious"": 0.25, ""ScotRank_ChangeSinceFirst"": 1.0, ""ScotPct_ChangeSinceFirst"": 0.03125, ""FamilyRank_ChangeSinceFirst"": 1.0, ""FamilyPct_ChangeSinceFirst"": 0.125, ""Value_ChangeSincePrevious"": 0.010000000000000009, ""Numerator_ChangeSincePrevious"": -200.0, ""Denominator_ChangeSincePrevious"": -210.0, ""Value_ChangeSinceFirst"": 0.010000000000000009, ""Numerator_ChangeSinceFirst"": 5.0, ""Denominator_ChangeSinceFirst"": 0.0, ""PercentChange_AimAdjusted_SincePrevious"": 0.010000000000000009, ""PercentChange_AimAdjusted_SinceFirst"": 0.010000000000000009}"
CORP 092019-20;Q3Real_Quarterly,CORP 092019-20;Q3Family Group 4Real_Quarterly,CORP 092019-20;Q3Aberdeen CityReal_Quarterly,CORP 09,Aberdeen City,2019-20;Q3,0.98,2975.0,3035.0,4.0,0.5,14.0,0.4375,Real_Quarterly,CORP 09Aberdeen CityReal_Quarterly,"{""Value"": 0.99, ""Numerator"": 2990.0, ""Denominator"": 3035.0, ""ScotRank"": 9.0, ""ScotPct"": 0.28125, ""FamilyRank"": 2.0, ""FamilyPct"": 0.25}","{""Value"": 0.98, ""Numerator"": 2985.0, ""Denominator"": 3035.0, ""ScotRank"": 10.0, ""ScotPct"": 0.3125, ""FamilyRank"": 3.0, ""FamilyPct"": 0.375}","{""ScotRank_ChangeSincePrevious"": -5.0, ""ScotPct_ChangeSincePrevious"": -0.15625, ""FamilyRank_ChangeSincePrevious"": -2.0, ""FamilyPct_ChangeSincePrevious"": -0.25, ""ScotRank_ChangeSinceFirst"": -4.0, ""ScotPct_ChangeSinceFirst"": -0.125, ""FamilyRank_ChangeSinceFirst"": -1.0, ""FamilyPct_ChangeSinceFirst"": -0.125, ""Value_ChangeSincePrevious"": -0.010000000000000009, ""Numerator_ChangeSincePrevious"": -15.0, ""Denominator_ChangeSincePrevious"": 0.0, ""Value_ChangeSinceFirst"": 0.0, ""Numerator_ChangeSinceFirst"": -10.0, ""Denominator_ChangeSinceFirst"": 0.0, ""PercentChange_AimAdjusted_SincePrevious"": -0.010000000000000009, ""PercentChange_AimAdjusted_SinceFirst"": 0.0}"
CORP 092019-20;Q4Real_Quarterly,CORP 092019-20;Q4Family Group 4Real_Quarterly,CORP 092019-20;Q4Aberdeen CityReal_Quarterly,CORP 09,Aberdeen City,2019-20;Q4,0.95,3975.0,4175.0,6.0,0.75,25.0,0.78125,Real_Quarterly,CORP 09Aberdeen CityReal_Quarterly,"{""Value"": 0.98, ""Numerator"": 2975.0, ""Denominator"": 3035.0, ""ScotRank"": 14.0, ""ScotPct"": 0.4375, ""FamilyRank"": 4.0, ""FamilyPct"": 0.5}","{""Value"": 0.98, ""Numerator"": 2985.0, ""Denominator"": 3035.0, ""ScotRank"": 10.0, ""ScotPct"": 0.3125, ""FamilyRank"": 3.0, ""FamilyPct"": 0.375}","{""ScotRank_ChangeSincePrevious"": -11.0, ""ScotPct_ChangeSincePrevious"": -0.34375, ""FamilyRank_ChangeSincePrevious"": -2.0, ""FamilyPct_ChangeSincePrevious"": -0.25, ""ScotRank_ChangeSinceFirst"": -15.0, ""ScotPct_ChangeSinceFirst"": -0.46875, ""FamilyRank_ChangeSinceFirst"": -3.0, ""FamilyPct_ChangeSinceFirst"": -0.375, ""Value_ChangeSincePrevious"": -0.030000000000000027, ""Numerator_ChangeSincePrevious"": 1000.0, ""Denominator_ChangeSincePrevious"": 1140.0, ""Value_ChangeSinceFirst"": -0.030000000000000027, ""Numerator_ChangeSinceFirst"": 990.0, ""Denominator_ChangeSinceFirst"": 1140.0, ""PercentChange_AimAdjusted_SincePrevious"": -0.030000000000000027, ""PercentChange_AimAdjusted_SinceFirst"": -0.030000000000000027}"
CORP 092020-21;Q1Real_Quarterly,CORP 092020-21;Q1Family Group 4Real_Quarterly,CORP 092020-21;Q1Aberdeen CityReal_Quarterly,CORP 09,Aberdeen City,2020-21;Q1,0.96,4605.0,4775.0,3.0,0.375,19.0,0.59375,Real_Quarterly,CORP 09Aberdeen CityReal_Quarterly,"{""Value"": 0.95, ""Numerator"": 3975.0, ""Denominator"": 4175.0, ""ScotRank"": 25.0, ""ScotPct"": 0.78125, ""FamilyRank"": 6.0, ""FamilyPct"": 0.75}","{""Value"": 0.98, ""Numerator"": 2985.0, ""Denominator"": 3035.0, ""ScotRank"": 10.0, ""ScotPct"": 0.3125, ""FamilyRank"": 3.0, ""FamilyPct"": 0.375}","{""ScotRank_ChangeSincePrevious"": 6.0, ""ScotPct_ChangeSincePrevious"": 0.1875, ""FamilyRank_ChangeSincePrevious"": 3.0, ""FamilyPct_ChangeSincePrevious"": 0.375, ""ScotRank_ChangeSinceFirst"": -9.0, ""ScotPct_ChangeSinceFirst"": -0.28125, ""FamilyRank_ChangeSinceFirst"": -0.0, ""FamilyPct_ChangeSinceFirst"": -0.0, ""Value_ChangeSincePrevious"": 0.010000000000000009, ""Numerator_ChangeSincePrevious"": 630.0, ""Denominator_ChangeSincePrevious"": 600.0, ""Value_ChangeSinceFirst"": -0.020000000000000018, ""Numerator_ChangeSinceFirst"": 1620.0, ""Denominator_ChangeSinceFirst"": 1740.0, ""PercentChange_AimAdjusted_SincePrevious"": 0.010000000000000009, ""PercentChange_AimAdjusted_SinceFirst"": -0.020000000000000018}"
CORP 092020-21;Q2Real_Quarterly,CORP 092020-21;Q2Family Group 4Real_Quarterly,CORP 092020-21;Q2Aberdeen CityReal_Quarterly,CORP 09,Aberdeen City,2020-21;Q2,0.96,3585.0,3720.0,6.0,0.75,23.0,0.71875,Real_Quarterly,CORP 09Aberdeen CityReal_Quarterly,"{""Value"": 0.96, ""Numerator"": 4605.0, ""Denominator"": 4775.0, ""ScotRank"": 19.0, ""ScotPct"": 0.59375, ""FamilyRank"": 3.0, ""FamilyPct"": 0.375}","{""Value"": 0.98, ""Numerator"": 2985.0, ""Denominator"": 3035.0, ""ScotRank"": 10.0, ""ScotPct"": 0.3125, ""FamilyRank"": 3.0, ""FamilyPct"": 0.375}","{""ScotRank_ChangeSincePrevious"": -4.0, ""ScotPct_ChangeSincePrevious"": -0.125, ""FamilyRank_ChangeSincePrevious"": -3.0, ""FamilyPct_ChangeSincePrevious"": -0.375, ""ScotRank_ChangeSinceFirst"": -13.0, ""ScotPct_ChangeSinceFirst"": -0.40625, ""FamilyRank_ChangeSinceFirst"": -3.0, ""FamilyPct_ChangeSinceFirst"": -0.375, ""Value_ChangeSincePrevious"": 0.0, ""Numerator_ChangeSincePrevious"": -1020.0, ""Denominator_ChangeSincePrevious"": -1055.0, ""Value_ChangeSinceFirst"": -0.020000000000000018, ""Numerator_ChangeSinceFirst"": 600.0, ""Denominator_ChangeSinceFirst"": 685.0, ""PercentChange_AimAdjusted_SincePrevious"": 0.0, ""PercentChange_AimAdjusted_SinceFirst"": -0.020000000000000018}"
