Key_CodePeriodDType,Key_CodePeriodLADType,Key_CodePeriodFamilyGroupDType,DataType,LocalAuthority,Code,Period,Value,Numerator,Denominator,ScotRank,ScotPct,FamilyRank,FamilyPct,Previous_Row,First_Row,Changes
C&L 012023-24Cash_Annual,C&L 012023-24Aberdeen CityCash_Annual,C&L 012023-24Family Group 4Cash_Annual,Cash_Annual,Aberdeen City,C&L 01,2023-24,3.01,5956000.0,1978218.0,11.0,0.34375,3.0,0.375,"{""Value"": 4.24, ""Numerator"": 7352000.0, ""Denominator"": 1734240.0, ""ScotRank"": 16.0, ""ScotPct"": 0.5, ""FamilyRank"": 4.0, ""FamilyPct"": 0.5}","{""Value"": 0.33, ""Numerator"": 637000.0, ""Denominator"": 1922292.0, ""ScotRank"": 1.0, ""ScotPct"": 0.03125, ""FamilyRank"": 1.0, ""FamilyPct"": 0.125}","{""ScotRank_ChangeSincePrevious"": 5.0, ""ScotPct_ChangeSincePrevious"": 0.15625, ""FamilyRank_ChangeSincePrevious"": 1.0, ""FamilyPct_ChangeSincePrevious"": 0.125, ""ScotRank_ChangeSinceFirst"": -10.0, ""ScotPct_ChangeSinceFirst"": -0.3125, ""FamilyRank_ChangeSinceFirst"": -2.0, ""FamilyPct_ChangeSinceFirst"": -0.25, ""Value_ChangeSincePrevious"": -1.2300000000000004, ""Numerator_ChangeSincePrevious"": -1396000.0, ""Denominator_ChangeSincePrevious"": 243978.0, ""Value_ChangeSinceFirst"": 2.6799999999999997, ""Numerator_ChangeSinceFirst"": 5319000.0, ""Denominator_ChangeSinceFirst"": 55926.0, ""PercentChange_AimAdjusted_SincePrevious"": 0.2900943396226416, ""PercentChange_AimAdjusted_SinceFirst"": -8.12121212121212}"
C&L 022023-24Cash_Annual,C&L 022023-24Aberdeen CityCash_Annual,C&L 022023-24Family Group 4Cash_Annual,Cash_Annual,Aberdeen City,C&L 02,2023-24,2.31,4061000.0,1761467.0,12.0,0.375,2.0,0.25,"{""Value"": 2.44, ""Numerator"": 4025000.0, ""Denominator"": 1648447.0, ""ScotRank"": 11.0, ""ScotPct"": 0.34375, ""FamilyRank"": 2.0, ""FamilyPct"": 0.25}","{""Value"": 3.6, ""Numerator"": 5695000.0, ""Denominator"": 1582483.0, ""ScotRank"": 17.0, ""ScotPct"": 0.53125, ""FamilyRank"": 4.0, ""FamilyPct"": 0.5}","{""ScotRank_ChangeSincePrevious"": -1.0, ""ScotPct_ChangeSincePrevious"": -0.03125, ""FamilyRank_ChangeSincePrevious"": -0.0, ""FamilyPct_ChangeSincePrevious"": -0.0, ""ScotRank_ChangeSinceFirst"": 5.0, ""ScotPct_ChangeSinceFirst"": 0.15625, ""FamilyRank_ChangeSinceFirst"": 2.0, ""FamilyPct_ChangeSinceFirst"": 0.25, ""Value_ChangeSincePrevious"": -0.1299999999999999, ""Numerator_ChangeSincePrevious"": 36000.0, ""Denominator_ChangeSincePrevious"": 113020.0, ""Value_ChangeSinceFirst"": -1.29, ""Numerator_ChangeSinceFirst"": -1634000.0, ""Denominator_ChangeSinceFirst"": 178984.0, ""PercentChange_AimAdjusted_SincePrevious"": 0.05327868852459012, ""PercentChange_AimAdjusted_SinceFirst"": 0.35833333333333334}"
C&L 032023-24Cash_Annual,C&L 032023-24Aberdeen CityCash_Annual,C&L 032023-24Family Group 4Cash_Annual,Cash_Annual,Aberdeen City,C&L 03,2023-24,3.53,4880000.0,1380916.0,13.0,0.5,2.0,0.2857142857142857,"{""Value"": 3.13, ""Numerator"": 4190000.0, ""Denominator"": 1339942.0, ""ScotRank"": 10.0, ""ScotPct"": 0.37037037037037035, ""FamilyRank"": 3.0, ""FamilyPct"": 0.375}","{""Value"": 5.02, ""Numerator"": 3528000.0, ""Denominator"": 703201.0, ""ScotRank"": 18.0, ""ScotPct"": 0.6, ""FamilyRank"": 3.0, ""FamilyPct"": 0.375}","{""ScotRank_ChangeSincePrevious"": -3.0, ""ScotPct_ChangeSincePrevious"": -0.12962962962962965, ""FamilyRank_ChangeSincePrevious"": 1.0, ""FamilyPct_ChangeSincePrevious"": 0.0892857142857143, ""ScotRank_ChangeSinceFirst"": 5.0, ""ScotPct_ChangeSinceFirst"": 0.09999999999999998, ""FamilyRank_ChangeSinceFirst"": 1.0, ""FamilyPct_ChangeSinceFirst"": 0.0892857142857143, ""Value_ChangeSincePrevious"": 0.3999999999999999, ""Numerator_ChangeSincePrevious"": 690000.0, ""Denominator_ChangeSincePrevious"": 40974.0, ""Value_ChangeSinceFirst"": -1.4899999999999998, ""Numerator_ChangeSinceFirst"": 1352000.0, ""Denominator_ChangeSinceFirst"": 677715.0, ""PercentChange_AimAdjusted_SincePrevious"": -0.1277955271565495, ""PercentChange_AimAdjusted_SinceFirst"": 0.296812749003984}"
C&L 042023-24Cash_Annual,C&L 042023-24Aberdeen CityCash_Annual,C&L 042023-24Family Group 4Cash_Annual,Cash_Annual,Aberdeen City,C&L 04,2023-24,24575.19,5597000.0,227.75,17.0,0.53125,3.0,0.375,"{""Value"": 28793.76, ""Numerator"": 6457000.0, ""Denominator"": 224.25, ""ScotRank"": 25.0, ""ScotPct"": 0.78125, ""FamilyRank"": 6.0, ""FamilyPct"": 0.75}","{""Value"": 21157.78, ""Numerator"": 4649000.0, ""Denominator"": 219.73000000000002, ""ScotRank"": 15.0, ""ScotPct"": 0.46875, ""FamilyRank"": 3.0, ""FamilyPct"": 0.375}","{""ScotRank_ChangeSincePrevious"": 8.0, ""ScotPct_ChangeSincePrevious"": 0.25, ""FamilyRank_ChangeSincePrevious"": 3.0, ""FamilyPct_ChangeSincePrevious"": 0.375, ""ScotRank_ChangeSinceFirst"": -2.0, ""ScotPct_ChangeSinceFirst"": -0.0625, ""FamilyRank_ChangeSinceFirst"": -0.0, ""FamilyPct_ChangeSinceFirst"": -0.0, ""Value_ChangeSincePrevious"": -4218.57, ""Numerator_ChangeSincePrevious"": -860000.0, ""Denominator_ChangeSincePrevious"": 3.5, ""Value_ChangeSinceFirst"": 3417.41, ""Numerator_ChangeSinceFirst"": 948000.0, ""Denominator_ChangeSinceFirst"": 8.019999999999982, ""PercentChange_AimAdjusted_SincePrevious"": 0.14650986880490774, ""PercentChange_AimAdjusted_SinceFirst"": -0.16152025401530784}"
C&L 05a2021-24Cash_Annual,C&L 05a2021-24Aberdeen CityCash_Annual,C&L 05a2021-24Family Group 4Cash_Annual,Cash_Annual,Aberdeen City,C&L 05a,2021-24,0.7,,,16.0,0.5,5.0,0.625,"{""Value"": 0.703, ""Numerator"": null, ""Denominator"": null, ""ScotRank"": 19.0, ""ScotPct"": 0.59375, ""FamilyRank"": 6.0, ""FamilyPct"": 0.75}","{""Value"": 0.734, ""Numerator"": null, ""Denominator"": null, ""ScotRank"": 30.0, ""ScotPct"": 0.9375, ""FamilyRank"": 8.0, ""FamilyPct"": 1.0}","{""ScotRank_ChangeSincePrevious"": 3.0, ""ScotPct_ChangeSincePrevious"": 0.09375, ""FamilyRank_ChangeSincePrevious"": 1.0, ""FamilyPct_ChangeSincePrevious"": 0.125, ""ScotRank_ChangeSinceFirst"": 14.0, ""ScotPct_ChangeSinceFirst"": 0.4375, ""FamilyRank_ChangeSinceFirst"": 3.0, ""FamilyPct_ChangeSinceFirst"": 0.375, ""Value_ChangeSincePrevious"": -0.0030000000000000027, ""Numerator_ChangeSincePrevious"": null, ""Denominator_ChangeSincePrevious"": null, ""Value_ChangeSinceFirst"": -0.03400000000000003, ""Numerator_ChangeSinceFirst"": null, ""Denominator_ChangeSinceFirst"": null, ""PercentChange_AimAdjusted_SincePrevious"": -0.0030000000000000027, ""PercentChange_AimAdjusted_SinceFirst"": -0.03400000000000003}"
C&L 05b2021-24Cash_Annual,C&L 05b2021-24Aberdeen CityCash_Annual,C&L 05b2021-24Family Group 4Cash_Annual,Cash_Annual,Aberdeen City,C&L 05b,2021-24,0.82,,,24.0,0.75,5.0,0.625,"{""Value"": 0.873, ""Numerator"": null, ""Denominator"": null, ""ScotRank"": 16.0, ""ScotPct"": 0.5, ""FamilyRank"": 5.0, ""FamilyPct"": 0.625}","{""Value"": 0.867, ""Numerator"": null, ""Denominator"": null, ""ScotRank"": 13.0, ""ScotPct"": 0.40625, ""FamilyRank"": 3.0, ""FamilyPct"": 0.375}","{""ScotRank_ChangeSincePrevious"": -8.0, ""ScotPct_ChangeSincePrevious"": -0.25, ""FamilyRank_ChangeSincePrevious"": -0.0, ""FamilyPct_ChangeSincePrevious"": -0.0, ""ScotRank_ChangeSinceFirst"": -11.0, ""ScotPct_ChangeSinceFirst"": -0.34375, ""FamilyRank_ChangeSinceFirst"": -2.0, ""FamilyPct_ChangeSinceFirst"": -0.25, ""Value_ChangeSincePrevious"": -0.05300000000000005, ""Numerator_ChangeSincePrevious"": null, ""Denominator_ChangeSincePrevious"": null, ""Value_ChangeSinceFirst"": -0.04700000000000004, ""Numerator_ChangeSinceFirst"": null, ""Denominator_ChangeSinceFirst"": null, ""PercentChange_AimAdjusted_SincePrevious"": -0.05300000000000005, ""PercentChange_AimAdjusted_SinceFirst"": -0.04700000000000004}"
C&L 05c2021-24Cash_Annual,C&L 05c2021-24Aberdeen CityCash_Annual,C&L 05c2021-24Family Group 4Cash_Annual,Cash_Annual,Aberdeen City,C&L 05c,2021-24,0.767,,,6.0,0.1875,3.0,0.375,"{""Value"": 0.79, ""Numerator"": null, ""Denominator"": null, ""ScotRank"": 7.0, ""ScotPct"": 0.21875, ""FamilyRank"": 4.0, ""FamilyPct"": 0.5}","{""Value"": 0.733, ""Numerator"": null, ""Denominator"": null, ""ScotRank"": 18.0, ""ScotPct"": 0.5625, ""FamilyRank"": 7.0, ""FamilyPct"": 0.875}","{""ScotRank_ChangeSincePrevious"": 1.0, ""ScotPct_ChangeSincePrevious"": 0.03125, ""FamilyRank_ChangeSincePrevious"": 1.0, ""FamilyPct_ChangeSincePrevious"": 0.125, ""ScotRank_ChangeSinceFirst"": 12.0, ""ScotPct_ChangeSinceFirst"": 0.375, ""FamilyRank_ChangeSinceFirst"": 4.0, ""FamilyPct_ChangeSinceFirst"": 0.5, ""Value_ChangeSincePrevious"": -0.02300000000000002, ""Numerator_ChangeSincePrevious"": null, ""Denominator_ChangeSincePrevious"": null, ""Value_ChangeSinceFirst"": 0.03400000000000003, ""Numerator_ChangeSinceFirst"": null, ""Denominator_ChangeSinceFirst"": null, ""PercentChange_AimAdjusted_SincePrevious"": -0.02300000000000002, ""PercentChange_AimAdjusted_SinceFirst"": 0.03400000000000003}"
C&L 05d2021-24Cash_Annual,C&L 05d2021-24Aberdeen CityCash_Annual,C&L 05d2021-24Family Group 4Cash_Annual,Cash_Annual,Aberdeen City,C&L 05d,2021-24,0.667,,,18.0,0.5625,4.0,0.5,"{""Value"": 0.73, ""Numerator"": null, ""Denominator"": null, ""ScotRank"": 14.0, ""ScotPct"": 0.4375, ""FamilyRank"": 4.0, ""FamilyPct"": 0.5}","{""Value"": 0.654, ""Numerator"": null, ""Denominator"": null, ""ScotRank"": 31.0, ""ScotPct"": 0.96875, ""FamilyRank"": 8.0, ""FamilyPct"": 1.0}","{""ScotRank_ChangeSincePrevious"": -4.0, ""ScotPct_ChangeSincePrevious"": -0.125, ""FamilyRank_ChangeSincePrevious"": -0.0, ""FamilyPct_ChangeSincePrevious"": -0.0, ""ScotRank_ChangeSinceFirst"": 13.0, ""ScotPct_ChangeSinceFirst"": 0.40625, ""FamilyRank_ChangeSinceFirst"": 4.0, ""FamilyPct_ChangeSinceFirst"": 0.5, ""Value_ChangeSincePrevious"": -0.06299999999999994, ""Numerator_ChangeSincePrevious"": null, ""Denominator_ChangeSincePrevious"": null, ""Value_ChangeSinceFirst"": 0.013000000000000012, ""Numerator_ChangeSinceFirst"": null, ""Denominator_ChangeSinceFirst"": null, ""PercentChange_AimAdjusted_SincePrevious"": -0.06299999999999994, ""PercentChange_AimAdjusted_SinceFirst"": 0.013000000000000012}"
CHN 012023-24Cash_Annual,CHN 012023-24Aberdeen CityCash_Annual,CHN 012023-24Family Group 4Cash_Annual,Cash_Annual,Aberdeen City,CHN 01,2023-24,6601.26,99910000.0,15135.0,2.0,0.0625,2.0,0.25,"{""Value"": 6393.6, ""Numerator"": 93174000.0, ""Denominator"": 14573.0, ""ScotRank"": 5.0, ""ScotPct"": 0.15625, ""FamilyRank"": 3.0, ""FamilyPct"": 0.375}","{""Value"": 4960.34, ""Numerator"": 59028000.0, ""Denominator"": 11900.0, ""ScotRank"": 22.0, ""ScotPct"": 0.6875, ""FamilyRank"": 6.0, ""FamilyPct"": 0.75}","{""ScotRank_ChangeSincePrevious"": 3.0, ""ScotPct_ChangeSincePrevious"": 0.09375, ""FamilyRank_ChangeSincePrevious"": 1.0, ""FamilyPct_ChangeSincePrevious"": 0.125, ""ScotRank_ChangeSinceFirst"": 20.0, ""ScotPct_ChangeSinceFirst"": 0.625, ""FamilyRank_ChangeSinceFirst"": 4.0, ""FamilyPct_ChangeSinceFirst"": 0.5, ""Value_ChangeSincePrevious"": 207.65999999999985, ""Numerator_ChangeSincePrevious"": 6736000.0, ""Denominator_ChangeSincePrevious"": 562.0, ""Value_ChangeSinceFirst"": 1640.92, ""Numerator_ChangeSinceFirst"": 40882000.0, ""Denominator_ChangeSinceFirst"": 3235.0, ""PercentChange_AimAdjusted_SincePrevious"": -0.03247935435435433, ""PercentChange_AimAdjusted_SinceFirst"": -0.33080796880858976}"
CHN 022023-24Cash_Annual,CHN 022023-24Aberdeen CityCash_Annual,CHN 022023-24Family Group 4Cash_Annual,Cash_Annual,Aberdeen City,CHN 02,2023-24,8505.55,92685000.0,10897.0,7.0,0.21875,4.0,0.5,"{""Value"": 7797.12, ""Numerator"": 81324000.0, ""Denominator"": 10430.0, ""ScotRank"": 4.0, ""ScotPct"": 0.125, ""FamilyRank"": 2.0, ""FamilyPct"": 0.25}","{""Value"": 7025.87, ""Numerator"": 65720000.0, ""Denominator"": 9354.0, ""ScotRank"": 27.0, ""ScotPct"": 0.84375, ""FamilyRank"": 7.0, ""FamilyPct"": 0.875}","{""ScotRank_ChangeSincePrevious"": -3.0, ""ScotPct_ChangeSincePrevious"": -0.09375, ""FamilyRank_ChangeSincePrevious"": -2.0, ""FamilyPct_ChangeSincePrevious"": -0.25, ""ScotRank_ChangeSinceFirst"": 20.0, ""ScotPct_ChangeSinceFirst"": 0.625, ""FamilyRank_ChangeSinceFirst"": 3.0, ""FamilyPct_ChangeSinceFirst"": 0.375, ""Value_ChangeSincePrevious"": 708.4299999999994, ""Numerator_ChangeSincePrevious"": 11361000.0, ""Denominator_ChangeSincePrevious"": 467.0, ""Value_ChangeSinceFirst"": 1479.6799999999994, ""Numerator_ChangeSinceFirst"": 26965000.0, ""Denominator_ChangeSinceFirst"": 1543.0, ""PercentChange_AimAdjusted_SincePrevious"": -0.09085790650906994, ""PercentChange_AimAdjusted_SinceFirst"": -0.21060452299857518}"
CHN 032023-24Cash_Annual,CHN 032023-24Aberdeen CityCash_Annual,CHN 032023-24Family Group 1Cash_Annual,Cash_Annual,Aberdeen City,CHN 03,2023-24,8927.34,33049000.0,3702.0,2.0,0.0625,1.0,0.125,"{""Value"": 9238.77, ""Numerator"": 34553000.0, ""Denominator"": 3740.0, ""ScotRank"": 3.0, ""ScotPct"": 0.09375, ""FamilyRank"": 1.0, ""FamilyPct"": 0.125}","{""Value"": 2058.15, ""Numerator"": 7574000.0, ""Denominator"": 3680.0, ""ScotRank"": 1.0, ""ScotPct"": 0.03125, ""FamilyRank"": 1.0, ""FamilyPct"": 0.125}","{""ScotRank_ChangeSincePrevious"": 1.0, ""ScotPct_ChangeSincePrevious"": 0.03125, ""FamilyRank_ChangeSincePrevious"": -0.0, ""FamilyPct_ChangeSincePrevious"": -0.0, ""ScotRank_ChangeSinceFirst"": -1.0, ""ScotPct_ChangeSinceFirst"": -0.03125, ""FamilyRank_ChangeSinceFirst"": -0.0, ""FamilyPct_ChangeSinceFirst"": -0.0, ""Value_ChangeSincePrevious"": -311.4300000000003, ""Numerator_ChangeSincePrevious"": -1504000.0, ""Denominator_ChangeSincePrevious"": -38.0, ""Value_ChangeSinceFirst"": 6869.1900000000005, ""Numerator_ChangeSinceFirst"": 25475000.0, ""Denominator_ChangeSinceFirst"": 22.0, ""PercentChange_AimAdjusted_SincePrevious"": 0.03370903269591085, ""PercentChange_AimAdjusted_SinceFirst"": -3.3375555717513303}"
CHN 042023-24Cash_Annual,CHN 042023-24Aberdeen CityCash_Annual,CHN 042023-24Family Group 1Cash_Annual,Cash_Annual,Aberdeen City,CHN 04,2023-24,0.66,,,15.0,0.46875,8.0,1.0,"{""Value"": 0.63, ""Numerator"": null, ""Denominator"": null, ""ScotRank"": 20.0, ""ScotPct"": 0.625, ""FamilyRank"": 8.0, ""FamilyPct"": 1.0}","{""Value"": 0.5, ""Numerator"": null, ""Denominator"": null, ""ScotRank"": 29.0, ""ScotPct"": 0.90625, ""FamilyRank"": 8.0, ""FamilyPct"": 1.0}","{""ScotRank_ChangeSincePrevious"": 5.0, ""ScotPct_ChangeSincePrevious"": 0.15625, ""FamilyRank_ChangeSincePrevious"": -0.0, ""FamilyPct_ChangeSincePrevious"": -0.0, ""ScotRank_ChangeSinceFirst"": 14.0, ""ScotPct_ChangeSinceFirst"": 0.4375, ""FamilyRank_ChangeSinceFirst"": -0.0, ""FamilyPct_ChangeSinceFirst"": -0.0, ""Value_ChangeSincePrevious"": 0.030000000000000027, ""Numerator_ChangeSincePrevious"": null, ""Denominator_ChangeSincePrevious"": null, ""Value_ChangeSinceFirst"": 0.16000000000000003, ""Numerator_ChangeSinceFirst"": null, ""Denominator_ChangeSinceFirst"": null, ""PercentChange_AimAdjusted_SincePrevious"": 0.030000000000000027, ""PercentChange_AimAdjusted_SinceFirst"": 0.16000000000000003}"
CHN 052023-24Cash_Annual,CHN 052023-24Aberdeen CityCash_Annual,CHN 052023-24Family Group 1Cash_Annual,Cash_Annual,Aberdeen City,CHN 05,2023-24,0.39,,,11.0,0.34375,4.0,0.5,"{""Value"": 0.37, ""Numerator"": null, ""Denominator"": null, ""ScotRank"": 11.0, ""ScotPct"": 0.34375, ""FamilyRank"": 5.0, ""FamilyPct"": 0.625}","{""Value"": 0.3, ""Numerator"": null, ""Denominator"": null, ""ScotRank"": 12.0, ""ScotPct"": 0.375, ""FamilyRank"": 6.0, ""FamilyPct"": 0.75}","{""ScotRank_ChangeSincePrevious"": -0.0, ""ScotPct_ChangeSincePrevious"": -0.0, ""FamilyRank_ChangeSincePrevious"": 1.0, ""FamilyPct_ChangeSincePrevious"": 0.125, ""ScotRank_ChangeSinceFirst"": 1.0, ""ScotPct_ChangeSinceFirst"": 0.03125, ""FamilyRank_ChangeSinceFirst"": 2.0, ""FamilyPct_ChangeSinceFirst"": 0.25, ""Value_ChangeSincePrevious"": 0.020000000000000018, ""Numerator_ChangeSincePrevious"": null, ""Denominator_ChangeSincePrevious"": null, ""Value_ChangeSinceFirst"": 0.09000000000000002, ""Numerator_ChangeSinceFirst"": null, ""Denominator_ChangeSinceFirst"": null, ""PercentChange_AimAdjusted_SincePrevious"": 0.020000000000000018, ""PercentChange_AimAdjusted_SinceFirst"": 0.09000000000000002}"
