Key_CodePeriodDType,Code,Period,DataType,Value_Scot_Mean,Numerator_Scot_Mean,Denominator_Scot_Mean,Value_Scot_Median,Numerator_Scot_Median,Denominator_Scot_Median,Scot_NumDenAv
C&L 012010-11Cash_Annual,C&L 01,2010-11,Cash_Annual,3.2978125,5045062.5,1420619.3125,3.44,3626500.0,1080558.5,3.5513120620060556
C&L 012010-11Real_Annual,C&L 01,2010-11,Real_Annual,4.30209375,6581423.399999999,1420619.3125,4.4876000000000005,4730869.4,1080558.5,4.6327846891072015
C&L 012011-12Cash_Annual,C&L 01,2011-12,Cash_Annual,3.1346875,4860000.0,1506323.21875,2.8899999999999997,3356500.0,1099975.5,3.226399181467175
C&L 012011-12Real_Annual,C&L 01,2011-12,Real_Annual,4.01846875,6230202.121875,1506323.21875,3.7048,4302813.45,1099975.5,4.13603272147995
C&L 012012-13Cash_Annual,C&L 01,2012-13,Cash_Annual,3.06875,5062750.0,1613271.78125,2.685,3774500.0,1180585.0,3.138187910332917
C&L 012012-13Real_Annual,C&L 01,2012-13,Real_Annual,3.86303125,6373137.090625,1613271.78125,3.38,4751450.5,1180585.0,3.9504423028381166
C&L 012013-14Cash_Annual,C&L 01,2013-14,Cash_Annual,3.075625,5314656.25,1666276.15625,2.735,3781000.0,1187107.5,3.1895410794095373
C&L 012013-14Real_Annual,C&L 01,2013-14,Real_Annual,3.79864375,6564026.871875,1666276.15625,3.3779500000000002,4669838.35,1187107.5,3.939339134905178
C&L 012014-15Cash_Annual,C&L 01,2014-15,Cash_Annual,3.0103125,4880500.0,1647039.4375,2.53,3950000.0,1104013.0,2.9631955913623957
C&L 012014-15Real_Annual,C&L 01,2014-15,Real_Annual,3.673296875,5955366.171875,1647039.4375,3.0872,4819935.75,1104013.0,3.615800591219905
C&L 012015-16Cash_Annual,C&L 01,2015-16,Cash_Annual,2.9109375,4841687.5,1658884.53125,2.585,3835500.0,1128810.0,2.918640453143354
C&L 012015-16Real_Annual,C&L 01,2015-16,Real_Annual,3.52665625,5865804.10625,1658884.53125,3.1317500000000003,4646787.2,1128810.0,3.5359930096099026
C&L 012016-17Cash_Annual,C&L 01,2016-17,Cash_Annual,2.8565625,4900156.25,1688823.0625,2.7300000000000004,3973000.0,1205073.0,2.9015213960580315
C&L 012016-17Real_Annual,C&L 01,2016-17,Real_Annual,3.38381875,5804613.756250001,1688823.0625,3.2339,4706325.55,1205073.0,3.4370763196810623
C&L 012017-18Cash_Annual,C&L 01,2017-18,Cash_Annual,2.6625,4586125.0,1687272.90625,2.465,3957500.0,1208634.0,2.7180694853879688
C&L 012017-18Real_Annual,C&L 01,2017-18,Real_Annual,3.105303125,5348849.55,1687272.90625,2.87495,4615677.049999999,1208634.0,3.170115237545023
C&L 012018-19Cash_Annual,C&L 01,2018-19,Cash_Annual,2.513125,4451562.5,1703939.65625,2.455,3539500.0,1215428.0,2.612511824389908
C&L 012018-19Real_Annual,C&L 01,2018-19,Real_Annual,2.8705375,5084652.590625,1703939.65625,2.80415,4042878.8499999996,1215428.0,2.984056725233576
C&L 012019-20Cash_Annual,C&L 01,2019-20,Cash_Annual,2.60375,4452486.0,1626423.28125,2.6100000000000003,3593500.0,1155246.0,2.7375936211254968
C&L 012019-20Real_Annual,C&L 01,2019-20,Real_Annual,2.90545625,4968405.196875,1626423.28125,2.9124,4009886.6000000006,1155246.0,3.0548045236148456
C&L 012020-21Cash_Annual,C&L 01,2020-21,Cash_Annual,53.2371875,5744812.5,142548.375,29.67,3782000.0,103006.5,40.30079262566129
C&L 012020-21Real_Annual,C&L 01,2020-21,Real_Annual,58.056784375,6264894.45625,142548.375,32.356049999999996,4124387.15,103006.5,43.94925200830946
C&L 012021-22Cash_Annual,C&L 01,2021-22,Cash_Annual,6.6009375,5333656.25,828504.71875,5.775,3581000.0,615244.5,6.437689646532264
C&L 012021-22Real_Annual,C&L 01,2021-22,Real_Annual,7.03504375,5684422.878125,828504.71875,6.1548,3816503.6,615244.5,6.861062767030861
C&L 012022-23Cash_Annual,C&L 01,2022-23,Cash_Annual,4.8475,5841750.0,1193825.4375,4.37,4081500.0,843264.0,4.893303339417242
C&L 012022-23Real_Annual,C&L 01,2022-23,Real_Annual,4.8475,5841750.0,1193825.4375,4.37,4081500.0,843264.0,4.893303339417242
C&L 022010-11Cash_Annual,C&L 02,2010-11,Cash_Annual,3.7696875,3386343.75,993759.53125,3.55,2328500.0,691783.0,3.4076088263933317
C&L 022010-11Real_Annual,C&L 02,2010-11,Real_Annual,4.9176593749999995,4417578.971875,993759.53125,4.63105,3037592.5999999996,691783.0,4.44531985149199
C&L 022011-12Cash_Annual,C&L 02,2011-12,Cash_Annual,3.570625,3265562.5,1002332.34375,3.45,2288000.0,720985.5,3.2579638084735802
C&L 022011-12Real_Annual,C&L 02,2011-12,Real_Annual,4.57731875,4186237.540625,1002332.34375,4.4227,2933066.35,720985.5,4.176496515081154
C&L 022012-13Cash_Annual,C&L 02,2012-13,Cash_Annual,3.4971875,3254906.25,1033320.3125,3.5250000000000004,2205000.0,685620.0,3.1499489660908027
C&L 022012-13Real_Annual,C&L 02,2012-13,Real_Annual,4.4023625,4097370.75,1033320.3125,4.43735,2775718.2,685620.0,3.9652474653158434
C&L 022013-14Cash_Annual,C&L 02,2013-14,Cash_Annual,3.25625,3248656.25,1262976.6875,3.1,2299000.0,778507.5,2.5722218645464903
C&L 022013-14Real_Annual,C&L 02,2013-14,Real_Annual,4.021728125,4012351.1125,1262976.6875,3.82875,2839449.45,778507.5,3.1769003752889935
C&L 022014-15Cash_Annual,C&L 02,2014-15,Cash_Annual,3.179375,3134906.25,1278086.1875,2.9850000000000003,2241500.0,785349.0,2.4528128702587986
C&L 022014-15Real_Annual,C&L 02,2014-15,Real_Annual,3.879578125,3825328.26875,1278086.1875,3.6424,2735161.0,785349.0,2.993012760925405
C&L 022015-16Cash_Annual,C&L 02,2015-16,Cash_Annual,3.0425,3155625.0,1290036.53125,2.875,2359500.0,878179.5,2.4461516581567735
C&L 022015-16Real_Annual,C&L 02,2015-16,Real_Annual,3.686040625,3823104.665625,1290036.53125,3.48315,2858582.8499999996,878179.5,2.9635631030700704
C&L 022016-17Cash_Annual,C&L 02,2016-17,Cash_Annual,2.6703125,2898781.25,1461683.125,2.71,1992000.0,929455.5,1.983180349024006
C&L 022016-17Real_Annual,C&L 02,2016-17,Real_Annual,3.163184375,3433830.40625,1461683.125,3.2102000000000004,2359677.9499999997,929455.5,2.349230382098035
C&L 022017-18Cash_Annual,C&L 02,2017-18,Cash_Annual,2.718125,2799000.0,1351654.875,2.735,2033000.0,1002980.0,2.070794883938106
C&L 022017-18Real_Annual,C&L 02,2017-18,Real_Annual,3.170178125,3264505.409375,1351654.875,3.18985,2371110.95,1002980.0,2.415191532805295
