LocalAuthority,IndicatorCode,Year,LA_IndicatorCash,LA_NumeratorCash,LA_DenominatorCash,Scotland_IndicatorCash,Scotland_NumeratorCash,Scotland_DenominatorCash,IndicatorCash_FG,NumeratorCash_FG,DenominatorCash_FG,FamilyGroup
Aberdeen City,C&L01,2010-11,0.33,637,1922292,3.55,161442,45459818,3.4775,8644.875,2200418.875,Urban
Aberdeen City,C&L01,2011-12,0.76,1554,2045051,3.23,155520,48202343,3.4375,8400.375,2355970.75,Urban
Aberdeen City,C&L01,2012-13,3.64,7883,2163756,3.14,162008,51624697,3.6575,9472.5,2601296.5,Urban
Aberdeen City,C&L01,2013-14,3.48,7726,2222588,3.19,170069,53320837,3.74375,10240.5,2660076.25,Urban
Aberdeen City,C&L01,2014-15,3.02,7517,2487138,2.96,156176,52705262,3.53375,8968.75,2672126.125,Urban
Aberdeen City,C&L01,2015-16,3.13,7977,2549135,2.92,154934,53084305,3.465,8997.5,2631837.625,Urban
Aberdeen City,C&L01,2016-17,3.37,8070,2396458,2.9,156805,54042338,3.29625,8653.375,2702731.625,Urban
Aberdeen City,C&L01,2017-18,3.2,7977,2494247,2.72,146756,53992733,3.1825,8536.5,2680088,Urban
Aberdeen City,C&L01,2018-19,3.56,7935,2229239,2.61,142450,54526069,3.0275,8420.125,2702450.375,Urban
Aberdeen City,C&L01,2019-20,3.45,3950,1145072,2.74,142479.552,52045545,3.08875,8226.319,2508488.875,Urban
Aberdeen City,C&L01,2020-21,27.68,7032,254040,40.3,183834,4561548,66.93125,11209.625,200665.375,Urban
Aberdeen City,C&L01,2021-22,4.8,6888,1434492,6.44,170677,26512151,6.81625,10626.125,1355678.25,Urban
Aberdeen City,C&L02,2010-11,3.6,5695,1582483,3.41,108363,31800305,3.81625,6187.625,1804141.5,Urban
Aberdeen City,C&L02,2011-12,2.47,3875,1570220,3.26,104498,32074635,3.5575,5886,1805378.375,Urban
Aberdeen City,C&L02,2012-13,2.98,4413,1478728,3.15,104157,33066250,3.44875,5764.25,1878465.875,Urban
Aberdeen City,C&L02,2013-14,2.46,4051,1647002,2.57,103957,40415254,2.96875,5543,2569159.875,Urban
Aberdeen City,C&L02,2014-15,2.66,4060,1525986,2.45,100317,40898758,2.96625,5606.75,2654492.375,Urban
Aberdeen City,C&L02,2015-16,3.57,3911,1094948,2.45,100980,41281169,3.18125,5724,2570234.5,Urban
Aberdeen City,C&L02,2016-17,3.02,4463,1477706,1.98,92761,46773860,2.9775,5424.375,2921382,Urban
Aberdeen City,C&L02,2017-18,2.82,4118,1461623,2.07,89568,43252956,3.18375,5193,2500091.75,Urban
Aberdeen City,C&L02,2018-19,2.67,3824,1429729,2.05,90328,44030770,3.01625,5106.125,2474195.125,Urban
Aberdeen City,C&L02,2019-20,2.17,3764,1736063,1.99,89908.2567,45152917,2.9375,5101.657088,2721780.125,Urban
Aberdeen City,C&L02,2020-21,10.74,3225,300291,2.88,86023,29888610,12.88,5269.375,1634775.875,Urban
Aberdeen City,C&L02,2021-22,2.45,3300,1347180,2.91,89241,30702692,6.295,5182.375,1831401.75,Urban
Aberdeen City,C&L03,2010-11,5.02,3528,703201,4.2,38949,9270129,6.13875,3099.75,651243,Urban
Aberdeen City,C&L03,2011-12,2.72,2624,966093,3.47,40650,11707609,4.39625,3323.875,910248.625,Urban
Aberdeen City,C&L03,2012-13,4.11,3292,801684,3.58,39790,11102498,4.66375,3266.625,882804.5,Urban
Aberdeen City,C&L03,2013-14,2.31,2579,1114535,3.34,39021,11670085,4.3875,3167.875,924603.625,Urban
Aberdeen City,C&L03,2014-15,2.37,2548,1075225,3.33,39695,11917948,3.96,3243.375,906797.875,Urban
Aberdeen City,C&L03,2015-16,1.85,2649,1429835,3.04,38558,12663109,3.31625,3162.875,1011150.75,Urban
Aberdeen City,C&L03,2016-17,2.29,3143,1369758,3.31,41323,12466473,4.38625,3197.875,981401.5,Urban
Aberdeen City,C&L03,2017-18,3.85,3248,844045,3.5,41291,11809426,4.58125,3171.875,866027.625,Urban
Aberdeen City,C&L03,2018-19,3,2909,968414,3.47,41922,12070238,3.92,3199.125,927654.375,Urban
Aberdeen City,C&L03,2019-20,2.79,3150,1130980,3.27,41025.4182,12546007,3.7075,3321.302275,1029863.25,Urban
Aberdeen City,C&L03,2020-21,16.43,3111,189298,10.19,40427,3965942,116.5875,3575.625,143222.5,Urban
Aberdeen City,C&L03,2021-22,3.13,3722,1190854,4.75,41624,8758605,14.26857143,3939.571429,722301.4286,Urban
Aberdeen City,C&L04,2010-11,21412.12,4649,217120,25930.18,135410,5222100,28718.67,7254,264392.5,Urban
Aberdeen City,C&L04,2011-12,13868.98,3057,220420,24280.66,127590,5254800,25924.5175,6458,267021.25,Urban
Aberdeen City,C&L04,2012-13,15344.27,3452,224970,23662.3,125732,5313600,24848.19,6313.75,267672.5,Urban
Aberdeen City,C&L04,2013-14,17228.02,3913,227130,23296.36,124116,5327700,26690.92375,6506.625,268736.25,Urban
Aberdeen City,C&L04,2014-15,18026.99,4128,228990,23405.64,125164,5347600,25518.6375,6723,270203.75,Urban
Aberdeen City,C&L04,2015-16,18415.45,4242,230350,21794.16,117100,5373000,25137.92,6456.5,272122.5,Urban
Aberdeen City,C&L04,2016-17,17855.9,4104,229840,20833.53,112599,5404700,22901.96375,5842.875,274565,Urban
Aberdeen City,C&L04,2017-18,12465.03,2852,228800,19811.79,107475,5424800,21454.1975,5476.875,276196.25,Urban
Aberdeen City,C&L04,2018-19,11763.93,2677,227560,20139.11,109518.5,5438100,22447.8025,5785.875,277400,Urban
Aberdeen City,C&L04,2019-20,12918.18,2954,228670,20112.3,109879.5175,5463300,22336.84875,5840.814688,279483.75,Urban
Aberdeen City,C&L04,2020-21,12795.77,2931,229060,19111.78,104465,5466000,22381.89,5661.375,279991.25,Urban
Aberdeen City,C&L04,2021-22,14281.32,3248,227430,20336.68,111443,5479900,24040.625,5705.125,279442.5,Urban
Aberdeen City,C&L05a,2010-14,0.734,,,0.825,,,0.8445,,,Urban
Aberdeen City,C&L05a,2012-15,0.713,,,0.803,,,0.82775,,,Urban
Aberdeen City,C&L05a,2013-16,0.707,,,0.773,,,0.79375,,,Urban
Aberdeen City,C&L05a,2014-17,0.74,,,0.747,,,0.77175,,,Urban
Aberdeen City,C&L05a,2015-18,0.723,,,0.73,,,0.755,,,Urban
Aberdeen City,C&L05a,2016-19,0.731,,,0.724,,,0.74575,,,Urban
Aberdeen City,C&L05a,2017-20,0.727,,,0.724,,,0.74575,,,Urban
Aberdeen City,C&L05a,2018-21,0.724,,,0.744,,,0.7585,,,Urban
Aberdeen City,C&L05a,2019-22,0.73,,,0.74,,,0.7625,,,Urban
Aberdeen City,C&L05b,2010-14,0.867,,,0.85,,,0.849875,,,Urban
Aberdeen City,C&L05b,2012-15,0.843,,,0.86,,,0.857875,,,Urban
Aberdeen City,C&L05b,2013-16,0.83,,,0.857,,,0.861375,,,Urban
Aberdeen City,C&L05b,2014-17,0.857,,,0.86,,,0.86425,,,Urban
Aberdeen City,C&L05b,2015-18,0.877,,,0.857,,,0.87,,,Urban
Aberdeen City,C&L05b,2016-19,0.89,,,0.848,,,0.856,,,Urban
Aberdeen City,C&L05b,2017-20,0.88,,,0.85,,,0.844875,,,Urban
Aberdeen City,C&L05b,2018-21,0.886,,,0.855,,,0.8585,,,Urban
Aberdeen City,C&L05b,2019-22,0.89,,,0.873,,,0.876375,,,Urban
Aberdeen City,C&L05c,2010-14,0.733,,,0.765,,,0.78675,,,Urban
Aberdeen City,C&L05c,2012-15,0.713,,,0.763,,,0.7975,,,Urban
Aberdeen City,C&L05c,2013-16,0.69,,,0.74,,,0.77575,,,Urban
Aberdeen City,C&L05c,2014-17,0.683,,,0.72,,,0.755875,,,Urban
Aberdeen City,C&L05c,2015-18,0.683,,,0.7,,,0.722,,,Urban
Aberdeen City,C&L05c,2016-19,0.666,,,0.693,,,0.708875,,,Urban
Aberdeen City,C&L05c,2017-20,0.68,,,0.693,,,0.716,,,Urban
Aberdeen City,C&L05c,2018-21,0.703,,,0.713,,,0.742875,,,Urban
Aberdeen City,C&L05c,2019-22,0.767,,,0.73,,,0.761375,,,Urban
Aberdeen City,C&L05d,2010-14,0.654,,,0.775,,,0.771,,,Urban
Aberdeen City,C&L05d,2012-15,0.697,,,0.78,,,0.777,,,Urban
Aberdeen City,C&L05d,2013-16,0.697,,,0.757,,,0.759625,,,Urban
Aberdeen City,C&L05d,2014-17,0.71,,,0.74,,,0.7495,,,Urban
Aberdeen City,C&L05d,2015-18,0.713,,,0.727,,,0.735,,,Urban
Aberdeen City,C&L05d,2016-19,0.724,,,0.714,,,0.726125,,,Urban
Aberdeen City,C&L05d,2017-20,0.714,,,0.701,,,0.718,,,Urban
Aberdeen City,C&L05d,2018-21,0.727,,,0.718,,,0.73325,,,Urban
Aberdeen City,C&L05d,2019-22,0.737,,,0.723,,,0.7395,,,Urban
Aberdeen City,CHN01,2010-11,4960.34,59028,11900,4834.5,1763933.499,364864,4852.735,80586.31234,16819.375,Urban
Aberdeen City,CHN01,2011-12,4880.22,58343,11955,4771.39,1746184.828,365970,4723.46125,79379.60348,16944,Urban
Aberdeen City,CHN01,2012-13,4958.13,60747,12252,4734.37,1752747.89,370218,4676.38625,80447.48623,17237.75,Urban
Aberdeen City,CHN01,2013-14,4867.01,61558,12648,4716.26,1777657.006,376921,4640.21,80601.00073,17670,Urban
Aberdeen City,CHN01,2014-15,5216.42,68043,13044,4643.56,1786616,384751,4630.46,82155.87988,18156.875,Urban
Aberdeen City,CHN01,2015-16,5071.59,67721,13353,4710.21,1840217.479,390687,4607.86625,84463.8099,18512.75,Urban
Aberdeen City,CHN01,2016-17,4957.68,67940,13704,4805.69,1904193.259,396237,4709.17,87155.53233,18888.75,Urban
Aberdeen City,CHN01,2017-18,5161.53,71864,13923,4988.83,1994783.253,399850,4866.3175,92231.15666,19137.5,Urban
Aberdeen City,CHN01,2018-19,5165.73,72315,13999,5236.56,2093655,399815,5109.2,98217.625,19183.875,Urban
Aberdeen City,CHN01,2019-20,5367.01,74682,13915,5615.8,2236964.641,398334,5539.0925,106012.3301,19128.5,Urban
