Code,LocalAuthority,LGBF Year,Month,LA_IndicatorReal,LA_Numerator_real,LA_Den_Real,Scotland_Indicator_Real,Scotland_Num_Real,Scotland_Den_Real
CORP09,Aberdeen City,2018-19,Q1,0.98,2985,3035,0.95,43220,45335
CORP09,Aberdeen City,2018-19,Q2,0.99,2765,2800,0.95,42485,44675
CORP09,Aberdeen City,2018-19,Q3,0.98,2590,2645,0.96,43850,45545
CORP09,Aberdeen City,2018-19,Q4,0.98,3405,3460,0.96,55370,57450
CORP09,Aberdeen City,2019-20,Q1,0.98,3190,3245,0.95,48665,51170
CORP09,Aberdeen City,2019-20,Q2,0.99,2990,3035,0.96,49270,51405
CORP09,Aberdeen City,2019-20,Q3,0.98,2975,3035,0.96,49190,51455
CORP09,Aberdeen City,2019-20,Q4,0.95,3975,4175,0.94,60110,63875
CORP09,Aberdeen City,2020-21,Q1,0.96,4605,4775,0.92,71020,77345
CORP09,Aberdeen City,2020-21,Q2,0.96,3585,3720,0.95,55980,58720
CORP09,Aberdeen City,2020-21,Q3,0.95,3825,4025,0.95,60755,63875
CORP09,Aberdeen City,2020-21,Q4,0.89,3885,4380,0.93,67485,72935
CORP09,Aberdeen City,2021-22,Q1,0.93,3010,3245,0.95,57975,61285
CORP09,Aberdeen City,2021-22,Q2,0.93,2870,3085,0.94,53760,57375
CORP09,Aberdeen City,2021-22,Q3,0.92,3280,3550,0.94,61755,65860
CORP09,Aberdeen City,2021-22,Q4,0.69,2885,4155,0.9,70960,79140
CORP09,Aberdeen City,2022-23,Q1,0.54,2010,3735,0.88,65525,74460
CORP09,Aberdeen City,2022-23,Q2,0.9,3405,3795,0.93,62365,67390
CORP09,Aberdeen City,2022-23,Q3,0.96,3665,3810,0.95,60550,64000
CORP09,Aberdeen City,2022-23,Q4,0.98,5015,5095,0.91,70455,77310
CORP09,Aberdeenshire,2018-19,Q1,0.98,1110,1130,0.95,43220,45335
CORP09,Aberdeenshire,2018-19,Q2,0.98,975,995,0.95,42485,44675
CORP09,Aberdeenshire,2018-19,Q3,0.95,1185,1245,0.96,43850,45545
CORP09,Aberdeenshire,2018-19,Q4,0.97,1435,1475,0.96,55370,57450
CORP09,Aberdeenshire,2019-20,Q1,0.98,1310,1335,0.95,48665,51170
CORP09,Aberdeenshire,2019-20,Q2,0.97,1240,1280,0.96,49270,51405
CORP09,Aberdeenshire,2019-20,Q3,0.97,1330,1375,0.96,49190,51455
CORP09,Aberdeenshire,2019-20,Q4,0.96,1685,1760,0.94,60110,63875
CORP09,Aberdeenshire,2020-21,Q1,0.97,1515,1560,0.92,71020,77345
CORP09,Aberdeenshire,2020-21,Q2,0.97,1250,1290,0.95,55980,58720
CORP09,Aberdeenshire,2020-21,Q3,0.98,1445,1480,0.95,60755,63875
CORP09,Aberdeenshire,2020-21,Q4,0.96,1670,1730,0.93,67485,72935
CORP09,Aberdeenshire,2021-22,Q1,0.98,1455,1485,0.95,57975,61285
CORP09,Aberdeenshire,2021-22,Q2,0.98,1590,1620,0.94,53760,57375
CORP09,Aberdeenshire,2021-22,Q3,0.98,2025,2060,0.94,61755,65860
CORP09,Aberdeenshire,2021-22,Q4,0.97,2135,2210,0.9,70960,79140
CORP09,Aberdeenshire,2022-23,Q1,0.99,2125,2145,0.88,65525,74460
CORP09,Aberdeenshire,2022-23,Q2,0.98,2035,2080,0.93,62365,67390
CORP09,Aberdeenshire,2022-23,Q3,0.98,2020,2055,0.95,60550,64000
CORP09,Aberdeenshire,2022-23,Q4,0.97,2370,2435,0.91,70455,77310
CORP09,Angus,2018-19,Q1,0.98,595,605,0.95,43220,45335
CORP09,Angus,2018-19,Q2,0.99,745,750,0.95,42485,44675
CORP09,Angus,2018-19,Q3,0.98,900,920,0.96,43850,45545
CORP09,Angus,2018-19,Q4,1,1020,1020,0.96,55370,57450
CORP09,Angus,2019-20,Q1,0.98,850,865,0.95,48665,51170
CORP09,Angus,2019-20,Q2,0.99,815,825,0.96,49270,51405
CORP09,Angus,2019-20,Q3,0.98,865,875,0.96,49190,51455
CORP09,Angus,2019-20,Q4,0.98,1045,1065,0.94,60110,63875
CORP09,Angus,2020-21,Q1,0.99,910,920,0.92,71020,77345
CORP09,Angus,2020-21,Q2,0.99,685,690,0.95,55980,58720
CORP09,Angus,2020-21,Q3,0.99,880,885,0.95,60755,63875
CORP09,Angus,2020-21,Q4,0.99,990,1000,0.93,67485,72935
CORP09,Angus,2021-22,Q1,0.99,790,805,0.95,57975,61285
CORP09,Angus,2021-22,Q2,0.99,875,880,0.94,53760,57375
CORP09,Angus,2021-22,Q3,0.99,1020,1030,0.94,61755,65860
CORP09,Angus,2021-22,Q4,0.95,980,1040,0.9,70960,79140
CORP09,Angus,2022-23,Q1,0.96,950,990,0.88,65525,74460
CORP09,Angus,2022-23,Q2,0.99,1080,1085,0.93,62365,67390
CORP09,Angus,2022-23,Q3,0.99,1025,1030,0.95,60550,64000
CORP09,Angus,2022-23,Q4,0.97,1155,1185,0.91,70455,77310
CORP09,Argyll & Bute,2018-19,Q1,1,360,360,0.95,43220,45335
CORP09,Argyll & Bute,2018-19,Q2,1,330,330,0.95,42485,44675
CORP09,Argyll & Bute,2018-19,Q3,1,295,290,0.96,43850,45545
CORP09,Argyll & Bute,2018-19,Q4,1,360,365,0.96,55370,57450
CORP09,Argyll & Bute,2019-20,Q1,1,265,265,0.95,48665,51170
CORP09,Argyll & Bute,2019-20,Q2,1,320,320,0.96,49270,51405
CORP09,Argyll & Bute,2019-20,Q3,1,350,350,0.96,49190,51455
CORP09,Argyll & Bute,2019-20,Q4,1,520,525,0.94,60110,63875
CORP09,Argyll & Bute,2020-21,Q1,1,410,415,0.92,71020,77345
CORP09,Argyll & Bute,2020-21,Q2,1,325,325,0.95,55980,58720
CORP09,Argyll & Bute,2020-21,Q3,1,380,380,0.95,60755,63875
CORP09,Argyll & Bute,2020-21,Q4,1,405,405,0.93,67485,72935
CORP09,Argyll & Bute,2021-22,Q1,1,275,275,0.95,57975,61285
CORP09,Argyll & Bute,2021-22,Q2,1,355,360,0.94,53760,57375
CORP09,Argyll & Bute,2021-22,Q3,1,395,395,0.94,61755,65860
CORP09,Argyll & Bute,2021-22,Q4,1,475,470,0.9,70960,79140
CORP09,Argyll & Bute,2022-23,Q1,1,375,375,0.88,65525,74460
CORP09,Argyll & Bute,2022-23,Q2,1,340,345,0.93,62365,67390
CORP09,Argyll & Bute,2022-23,Q3,1,410,410,0.95,60550,64000
CORP09,Argyll & Bute,2022-23,Q4,1,465,470,0.91,70455,77310
CORP09,Clackmannanshire,2018-19,Q1,0.85,395,470,0.95,43220,45335
CORP09,Clackmannanshire,2018-19,Q2,0.9,505,560,0.95,42485,44675
CORP09,Clackmannanshire,2018-19,Q3,0.83,435,525,0.96,43850,45545
CORP09,Clackmannanshire,2018-19,Q4,0.89,595,670,0.96,55370,57450
CORP09,Clackmannanshire,2019-20,Q1,0.95,650,680,0.95,48665,51170
CORP09,Clackmannanshire,2019-20,Q2,0.94,650,695,0.96,49270,51405
CORP09,Clackmannanshire,2019-20,Q3,0.98,855,870,0.96,49190,51455
CORP09,Clackmannanshire,2019-20,Q4,0.98,1010,1030,0.94,60110,63875
CORP09,Clackmannanshire,2020-21,Q1,0.99,1015,1020,0.92,71020,77345
CORP09,Clackmannanshire,2020-21,Q2,0.96,865,895,0.95,55980,58720
CORP09,Clackmannanshire,2020-21,Q3,0.98,850,865,0.95,60755,63875
CORP09,Clackmannanshire,2020-21,Q4,0.97,650,675,0.93,67485,72935
CORP09,Clackmannanshire,2021-22,Q1,0.93,565,610,0.95,57975,61285
CORP09,Clackmannanshire,2021-22,Q2,0.97,620,640,0.94,53760,57375
CORP09,Clackmannanshire,2021-22,Q3,0.98,625,640,0.94,61755,65860
CORP09,Clackmannanshire,2021-22,Q4,0.99,660,665,0.9,70960,79140
CORP09,Clackmannanshire,2022-23,Q1,0.98,615,630,0.88,65525,74460
CORP09,Clackmannanshire,2022-23,Q2,0.99,565,565,0.93,62365,67390
CORP09,Clackmannanshire,2022-23,Q3,1,690,690,0.95,60550,64000
CORP09,Clackmannanshire,2022-23,Q4,1,830,835,0.91,70455,77310
CORP09,Dumfries & Galloway,2018-19,Q1,0.96,1215,1260,0.95,43220,45335
CORP09,Dumfries & Galloway,2018-19,Q2,0.89,1155,1290,0.95,42485,44675
CORP09,Dumfries & Galloway,2018-19,Q3,0.91,1165,1280,0.96,43850,45545
CORP09,Dumfries & Galloway,2018-19,Q4,0.94,1915,2045,0.96,55370,57450
CORP09,Dumfries & Galloway,2019-20,Q1,0.86,1510,1760,0.95,48665,51170
CORP09,Dumfries & Galloway,2019-20,Q2,0.87,1415,1620,0.96,49270,51405
CORP09,Dumfries & Galloway,2019-20,Q3,0.89,1310,1470,0.96,49190,51455
CORP09,Dumfries & Galloway,2019-20,Q4,0.83,1675,2015,0.94,60110,63875
CORP09,Dumfries & Galloway,2020-21,Q1,0.92,2150,2335,0.92,71020,77345
CORP09,Dumfries & Galloway,2020-21,Q2,0.91,1710,1880,0.95,55980,58720
CORP09,Dumfries & Galloway,2020-21,Q3,0.93,1885,2015,0.95,60755,63875
CORP09,Dumfries & Galloway,2020-21,Q4,0.92,1800,1960,0.93,67485,72935
CORP09,Dumfries & Galloway,2021-22,Q1,0.93,1415,1530,0.95,57975,61285
CORP09,Dumfries & Galloway,2021-22,Q2,0.83,1370,1655,0.94,53760,57375
CORP09,Dumfries & Galloway,2021-22,Q3,0.85,1545,1830,0.94,61755,65860
CORP09,Dumfries & Galloway,2021-22,Q4,0.88,1805,2045,0.9,70960,79140
CORP09,Dumfries & Galloway,2022-23,Q1,0.86,1710,1980,0.88,65525,74460
CORP09,Dumfries & Galloway,2022-23,Q2,0.88,1790,2030,0.93,62365,67390
CORP09,Dumfries & Galloway,2022-23,Q3,0.79,1560,1970,0.95,60550,64000
