Code,LocalAuthority,LGBF Year,LA_IndicatorReal,LA_Numerator_real,LA_Den_Real,Scotland_Indicator_Real,Scotland_Num_Real,Scotland_Den_Real,FG_Avg_Indicator_Real,FG_Avg_Num_Real,FG_Avg_Den_Real,FamilyGroup
C&L01,Aberdeen City,2010-11,0.4067,785.0188,1922292,4.3749,198956.0517,45459818,4.285575,10653.67251,2200418.875,Urban
C&L01,Aberdeen City,2011-12,0.9227,1886.6034,2045051,3.9213,188806.0265,48202343,4.17325,10198.31161,2355970.75,Urban
C&L01,Aberdeen City,2012-13,4.3317,9381.0432,2163756,3.7367,192795.1341,51624697,4.3525625,11272.60325,2601296.5,Urban
C&L01,Aberdeen City,2013-14,4.0486,8988.3238,2222588,3.7112,197855.9712,53320837,4.3554375,11913.659,2660076.25,Urban
C&L01,Aberdeen City,2014-15,3.4734,8645.5731,2487138,3.4044,179623.6567,52705262,4.064275,10315.28321,2672126.125,Urban
C&L01,Aberdeen City,2015-16,3.5777,9118.0708,2549135,3.3377,177096.5505,53084305,3.9606375,10284.54835,2631837.625,Urban
C&L01,Aberdeen City,2016-17,3.7678,9022.5884,2396458,3.2423,175314.3718,54042338,3.6853375,9674.825413,2702731.625,Urban
C&L01,Aberdeen City,2017-18,3.5172,8767.6208,2494247,2.9896,161301.3605,53992733,3.497925,9382.574238,2680088,Urban
C&L01,Aberdeen City,2018-19,3.8379,8554.4959,2229239,2.8138,153571.2585,54526069,3.2638625,9077.495213,2702450.375,Urban
C&L01,Aberdeen City,2019-20,3.6367,4163.8029,1145072,2.8883,150191.5886,52045545,3.25595,8671.587613,2508488.875,Urban
C&L01,Aberdeen City,2020-21,28.4077,7216.8589,254040,41.3594,188666.6714,4561548,68.6907625,11504.30625,200665.375,Urban
C&L01,Aberdeen City,2021-22,4.7961,6882.3819,1434492,6.4347,170537.7903,26512151,6.810675,10617.45798,1355678.25,Urban
C&L01,Aberdeenshire,2010-11,5.521,6951.7913,1260286,4.3749,198956.0517,45459818,3.710975,3790.919875,923124.125,Rural
C&L01,Aberdeenshire,2011-12,3.4964,6646.8171,1898433,3.9213,188806.0265,48202343,3.68915,3901.135313,1036476,Rural
C&L01,Aberdeenshire,2012-13,3.7129,7498.4083,2019904,3.7367,192795.1341,51624697,3.2978875,3775.533675,1065939,Rural
C&L01,Aberdeenshire,2013-14,3.6996,7501.5159,2027402,3.7112,197855.9712,53320837,3.1775,3436.061913,1040247.5,Rural
C&L01,Aberdeenshire,2014-15,3.9565,7362.0212,1858491,3.4044,179623.6567,52705262,3.402975,3508.777738,993567.375,Rural
C&L01,Aberdeenshire,2015-16,3.7835,7098.3101,1875054,3.3377,177096.5505,53084305,3.2805375,3359.409575,1012156.625,Rural
C&L01,Aberdeenshire,2016-17,5.3219,11146.8658,2095024,3.2423,175314.3718,54042338,3.0508625,3348.392138,1006353.5,Rural
C&L01,Aberdeenshire,2017-18,2.8027,6380.3483,2280427,2.9896,161301.3605,53992733,2.580175,2731.294675,1072249,Rural
C&L01,Aberdeenshire,2018-19,2.706,6111.5863,2261864,2.8138,153571.2585,54526069,2.5348,2733.8541,1100968.875,Rural
C&L01,Aberdeenshire,2019-20,3.1413,6973.0522,2219506,2.8883,150191.5886,52045545,2.5075,2876.186388,1115131,Rural
C&L01,Aberdeenshire,2020-21,30.8092,8601.3217,279146,41.3594,188666.6714,4561548,23.9843375,3339.028775,144847.375,Rural
C&L01,Aberdeenshire,2021-22,5.9651,7080.2204,1186235,6.4347,170537.7903,26512151,5.43055,3186.39895,585801,Rural
C&L01,Angus,2010-11,2.4154,3788.3011,1568948,4.3749,198956.0517,45459818,3.8141625,5283.780375,1393280.5,3
C&L01,Angus,2011-12,2.1367,3093.3498,1450100,3.9213,188806.0265,48202343,3.337075,4860.219438,1415648.375,3
C&L01,Angus,2012-13,2.1183,2827.5223,1332704,3.7367,192795.1341,51624697,3.364825,4626.408463,1456944.25,3
C&L01,Angus,2013-14,1.8149,2777.0035,1531278,3.7112,197855.9712,53320837,3.2982,5044.443675,1615756.625,3
C&L01,Angus,2014-15,1.8977,2848.8871,1504480,3.4044,179623.6567,52705262,2.858075,4218.986788,1536497.75,3
C&L01,Angus,2015-16,1.7603,2726.1626,1544597,3.3377,177096.5505,53084305,2.8576125,4274.988713,1557697,3
C&L01,Angus,2016-17,3.0634,4583.9669,1493826,3.2423,175314.3718,54042338,2.9139,4533.235775,1608040.375,3
C&L01,Angus,2017-18,2.495,3911.7415,1564591,2.9896,161301.3605,53992733,2.8068625,4044.321975,1546902.375,3
C&L01,Angus,2018-19,2.6844,3865.9637,1442580,2.8138,153571.2585,54526069,2.46205,3848.310313,1594924.75,3
C&L01,Angus,2019-20,3.0253,3698.9328,1222627,2.8883,150191.5886,52045545,2.6129,3730.029525,1497042.25,3
C&L01,Angus,2020-21,116.0835,3041.9183,26205,41.3594,188666.6714,4561548,56.1123125,4281.674513,119839.625,3
C&L01,Angus,2021-22,6.2949,3562.0923,565544,6.4347,170537.7903,26512151,6.951825,3539.735513,708714.5,3
C&L01,Argyll & Bute,2010-11,2.9823,1959.4661,656840,4.3749,198956.0517,45459818,3.710975,3790.919875,923124.125,Rural
C&L01,Argyll & Bute,2011-12,3.0594,1845.3264,602198,3.9213,188806.0265,48202343,3.68915,3901.135313,1036476,Rural
C&L01,Argyll & Bute,2012-13,2.9632,1820.753,615039,3.7367,192795.1341,51624697,3.2978875,3775.533675,1065939,Rural
C&L01,Argyll & Bute,2013-14,2.8154,1704.3612,604991,3.7112,197855.9712,53320837,3.1775,3436.061913,1040247.5,Rural
C&L01,Argyll & Bute,2014-15,3.1744,1820.6655,574314,3.4044,179623.6567,52705262,3.402975,3508.777738,993567.375,Rural
C&L01,Argyll & Bute,2015-16,3.5206,1924.888,545894,3.3377,177096.5505,53084305,3.2805375,3359.409575,1012156.625,Rural
C&L01,Argyll & Bute,2016-17,3.7007,1758.678,475293,3.2423,175314.3718,54042338,3.0508625,3348.392138,1006353.5,Rural
C&L01,Argyll & Bute,2017-18,3.2424,1600.3079,493703,2.9896,161301.3605,53992733,2.580175,2731.294675,1072249,Rural
C&L01,Argyll & Bute,2018-19,3.1587,1675.3228,531074,2.8138,153571.2585,54526069,2.5348,2733.8541,1100968.875,Rural
C&L01,Argyll & Bute,2019-20,2.941,1675.0083,569318,2.8883,150191.5886,52045545,2.5075,2876.186388,1115131,Rural
C&L01,Argyll & Bute,2020-21,19.6842,1513.7751,76919,41.3594,188666.6714,4561548,23.9843375,3339.028775,144847.375,Rural
C&L01,Argyll & Bute,2021-22,5.8252,1594.6983,273840,6.4347,170537.7903,26512151,5.43055,3186.39895,585801,Rural
C&L01,Clackmannanshire,2010-11,3.6971,2019.8521,545939,4.3749,198956.0517,45459818,3.8141625,5283.780375,1393280.5,3
C&L01,Clackmannanshire,2011-12,3.5207,1966.7294,557734,3.9213,188806.0265,48202343,3.337075,4860.219438,1415648.375,3
C&L01,Clackmannanshire,2012-13,3.701,2049.2397,554238,3.7367,192795.1341,51624697,3.364825,4626.408463,1456944.25,3
C&L01,Clackmannanshire,2013-14,3.2109,1836.9872,571718,3.7112,197855.9712,53320837,3.2982,5044.443675,1615756.625,3
C&L01,Clackmannanshire,2014-15,1.9207,1129.4337,587914,3.4044,179623.6567,52705262,2.858075,4218.986788,1536497.75,3
C&L01,Clackmannanshire,2015-16,1.9432,1079.0346,556036,3.3377,177096.5505,53084305,2.8576125,4274.988713,1557697,3
C&L01,Clackmannanshire,2016-17,1.9007,1026.3614,538695,3.2423,175314.3718,54042338,2.9139,4533.235775,1608040.375,3
C&L01,Clackmannanshire,2017-18,1.0991,537.466,490846,2.9896,161301.3605,53992733,2.8068625,4044.321975,1546902.375,3
C&L01,Clackmannanshire,2018-19,0.8086,448.4777,557046,2.8138,153571.2585,54526069,2.46205,3848.310313,1594924.75,3
C&L01,Clackmannanshire,2019-20,0.8855,549.2003,622547,2.8883,150191.5886,52045545,2.6129,3730.029525,1497042.25,3
C&L01,Clackmannanshire,2020-21,17.8266,790.2419,44319,41.3594,188666.6714,4561548,56.1123125,4281.674513,119839.625,3
C&L01,Clackmannanshire,2021-22,4.846,559.5432,115452,6.4347,170537.7903,26512151,6.951825,3539.735513,708714.5,3
C&L01,Dumfries & Galloway,2010-11,5.1267,6636.3049,1293585,4.3749,198956.0517,45459818,3.710975,3790.919875,923124.125,Rural
C&L01,Dumfries & Galloway,2011-12,6.1794,7977.3945,1290193,3.9213,188806.0265,48202343,3.68915,3901.135313,1036476,Rural
C&L01,Dumfries & Galloway,2012-13,6.3786,7875.6493,1235281,3.7367,192795.1341,51624697,3.2978875,3775.533675,1065939,Rural
C&L01,Dumfries & Galloway,2013-14,6.7709,8050.6343,1188032,3.7112,197855.9712,53320837,3.1775,3436.061913,1040247.5,Rural
C&L01,Dumfries & Galloway,2014-15,7.9244,8609.9189,1087085,3.4044,179623.6567,52705262,3.402975,3508.777738,993567.375,Rural
C&L01,Dumfries & Galloway,2015-16,6.984,7736.1293,1108413,3.3377,177096.5505,53084305,3.2805375,3359.409575,1012156.625,Rural
C&L01,Dumfries & Galloway,2016-17,4.0026,4581.7308,1145676,3.2423,175314.3718,54042338,3.0508625,3348.392138,1006353.5,Rural
C&L01,Dumfries & Galloway,2017-18,3.4842,4416.2342,1265676,2.9896,161301.3605,53992733,2.580175,2731.294675,1072249,Rural
C&L01,Dumfries & Galloway,2018-19,3.9673,5088.4966,1283417,2.8138,153571.2585,54526069,2.5348,2733.8541,1100968.875,Rural
C&L01,Dumfries & Galloway,2019-20,3.6789,5351.8044,1455243,2.8883,150191.5886,52045545,2.5075,2876.186388,1115131,Rural
C&L01,Dumfries & Galloway,2020-21,29.4442,5765.6873,195792,41.3594,188666.6714,4561548,23.9843375,3339.028775,144847.375,Rural
C&L01,Dumfries & Galloway,2021-22,7.5139,4986.9292,663790,6.4347,170537.7903,26512151,5.43055,3186.39895,585801,Rural
C&L01,Dundee City,2010-11,1.9225,2801.1738,1460938,4.3749,198956.0517,45459818,4.285575,10653.67251,2200418.875,Urban
C&L01,Dundee City,2011-12,2.768,4054.8619,1462966,3.9213,188806.0265,48202343,4.17325,10198.31161,2355970.75,Urban
C&L01,Dundee City,2012-13,3.0703,4492.3808,1463947,3.7367,192795.1341,51624697,4.3525625,11272.60325,2601296.5,Urban
C&L01,Dundee City,2013-14,2.6991,4338.2681,1604930,3.7112,197855.9712,53320837,4.3554375,11913.659,2660076.25,Urban
C&L01,Dundee City,2014-15,2.7143,4204.8976,1552138,3.4044,179623.6567,52705262,4.064275,10315.28321,2672126.125,Urban
C&L01,Dundee City,2015-16,2.7204,4247.5556,1564601,3.3377,177096.5505,53084305,3.9606375,10284.54835,2631837.625,Urban
C&L01,Dundee City,2016-17,2.5491,3943.3295,1549737,3.2423,175314.3718,54042338,3.6853375,9674.825413,2702731.625,Urban
C&L01,Dundee City,2017-18,2.7038,3834.8037,1420163,2.9896,161301.3605,53992733,3.497925,9382.574238,2680088,Urban
C&L01,Dundee City,2018-19,2.6089,3765.7031,1440918,2.8138,153571.2585,54526069,3.2638625,9077.495213,2702450.375,Urban
C&L01,Dundee City,2019-20,2.8989,4288.1899,1479913,2.8883,150191.5886,52045545,3.25595,8671.587613,2508488.875,Urban
C&L01,Dundee City,2020-21,23.4712,3848.5809,163975,41.3594,188666.6714,4561548,68.6907625,11504.30625,200665.375,Urban
C&L01,Dundee City,2021-22,5.6054,6193.9439,1104663,6.4347,170537.7903,26512151,6.810675,10617.45798,1355678.25,Urban
C&L01,East Ayrshire,2010-11,2.6003,3094.4776,1190983,4.3749,198956.0517,45459818,4.4457625,5141.133725,1165653.75,2
C&L01,East Ayrshire,2011-12,1.7846,2292.0896,1285555,3.9213,188806.0265,48202343,4.0229875,4641.086913,1217197.75,2
