,Indicators_Information_ServiceArea,Indicators_Information_Code,Indicators_Information_Title,LA_Information_LocalAuthority,LA_Data_LGBF_Year,LA_Data_LA_IndicatorCash,LA_Data_LA_Numerator_Cash,LA_Data_LA_Den_Cash,Scotland_Data_Scotland_Indicator_Cash,Scotland_Data_Scotland_Num_Cash,Scotland_Data_Scotland_Den_Cash,FG_Data_FG_Avg_Indicator_Cash,FG_Data_FG_Avg_Num_Cash,FG_Data_FG_Avg_Den_Cash,LA_Data_FamilyGroup,Indicators_Information_Category,Indicators_Information_Unit,Total,Total.1,Total.2,Total.3,Total.4,Total.5,Total.6,Total.7,Total.8
0,Adult Social Care Services,SW01,Home care costs per hour for people aged 65 or over,Aberdeen City,2010-11,20.12,13516.0,671922.16,20.14,435041.0,21602215.96,21.14625,10960.0,548521.155,Least Deprived,Financial,Pounds,1859.51168192666,895334.73673674,1662376.01831078,1807.44618300739,28375318.3918929,52294208.0280628,1839.3772976483,895955.756593542,1803379.44202296
1,Adult Social Care Services,SW01,Home care costs per hour for people aged 65 or over,Aberdeen City,2011-12,19.78,13902.0,702913.12,19.77,435328.581,22016337.2,22.6125,11730.5,550521.92,Least Deprived,Financial,Pounds,1859.51168192666,895334.73673674,1662376.01831078,1807.44618300739,28375318.3918929,52294208.0280628,1839.3772976483,895955.756593542,1803379.44202296
2,Adult Social Care Services,SW01,Home care costs per hour for people aged 65 or over,Aberdeen City,2012-13,26.83,16345.0,609256.96,20.47,456571.26,22308242.84,24.7625,13007.4075,601998.865,Least Deprived,Financial,Pounds,1859.51168192666,895334.73673674,1662376.01831078,1807.44618300739,28375318.3918929,52294208.0280628,1839.3772976483,895955.756593542,1803379.44202296
3,Adult Social Care Services,SW01,Home care costs per hour for people aged 65 or over,Aberdeen City,2013-14,24.45,15722.0,643012.24,20.25,473916.0,23400190.84,23.66,13826.75,638761.825,Least Deprived,Financial,Pounds,1859.51168192666,895334.73673674,1662376.01831078,1807.44618300739,28375318.3918929,52294208.0280628,1839.3772976483,895955.756593542,1803379.44202296
4,Adult Social Care Services,SW01,Home care costs per hour for people aged 65 or over,Aberdeen City,2014-15,26.29,16203.0,616311.8,20.24,478739.0,23650952.0,24.53125,14654.75,609883.235,Least Deprived,Financial,Pounds,1859.51168192666,895334.73673674,1662376.01831078,1807.44618300739,28375318.3918929,52294208.0280628,1839.3772976483,895955.756593542,1803379.44202296
5,Adult Social Care Services,SW01,Home care costs per hour for people aged 65 or over,Aberdeen City,2015-16,34.78,22064.0,634463.44,21.19,491347.0,23185760.0,27.09375,15383.0,649214.605,Least Deprived,Financial,Pounds,1859.51168192666,895334.73673674,1662376.01831078,1807.44618300739,28375318.3918929,52294208.0280628,1839.3772976483,895955.756593542,1803379.44202296
6,Adult Social Care Services,SW01,Home care costs per hour for people aged 65 or over,Aberdeen City,2016-17,33.01,23189.0,702501.8,22.64,536137.0,23685883.52,25.94625,16480.375,679977.87,Least Deprived,Financial,Pounds,1859.51168192666,895334.73673674,1662376.01831078,1807.44618300739,28375318.3918929,52294208.0280628,1839.3772976483,895955.756593542,1803379.44202296
7,Adult Social Care Services,SW01,Home care costs per hour for people aged 65 or over,Aberdeen City,2017-18,32.71,23401.0,715312.0,23.77,563725.0,23712614.92,27.97125,17096.625,706521.681625,Least Deprived,Financial,Pounds,1859.51168192666,895334.73673674,1662376.01831078,1807.44618300739,28375318.3918929,52294208.0280628,1839.3772976483,895955.756593542,1803379.44202296
8,Adult Social Care Services,SW01,Home care costs per hour for people aged 65 or over,Aberdeen City,2018-19,10.71,7470.0,697424.0,24.7,582874.0,23595781.56,24.57625,15747.0,740488.645,Least Deprived,Financial,Pounds,1859.51168192666,895334.73673674,1662376.01831078,1807.44618300739,28375318.3918929,52294208.0280628,1839.3772976483,895955.756593542,1803379.44202296
9,Adult Social Care Services,SW01,Home care costs per hour for people aged 65 or over,Aberdeen City,2019-20,16.58,11152.0,672724.0,25.39,621082.0,24457442.5,25.1175,16076.5,728055.26625,Least Deprived,Financial,Pounds,1859.51168192666,895334.73673674,1662376.01831078,1807.44618300739,28375318.3918929,52294208.0280628,1839.3772976483,895955.756593542,1803379.44202296
