DataType,Code,LocalAuthority,Period,Value,Numerator,Denominator
Real,SW08,Aberdeen City,2016-17,803.0321859,12924,16094
Real,SW08,Aberdeen City,2017-18,838.1863048,13587,16210
Real,SW08,Aberdeen City,2018-19,604.065291,9807,16235
Real,SW08,Aberdeen City,2019-20,579.3490871,9488,16377
Real,SW08,Aberdeen City,2020-21,275.7219383,4478,16241
Real,SW08,Aberdeen City,2021-22,318.1983732,5242,16474
Real,SW08,Aberdeen City,2022-23,335.6804662,5530,16474
Real,SW08,Aberdeen City,2023-24,112.2981668,1850,16474
Real,SW08,Aberdeenshire,2016-17,495.6978489,9909,19990
Real,SW08,Aberdeenshire,2017-18,595.6072984,12176,20443
Real,SW08,Aberdeenshire,2018-19,613.5378459,12880,20993
Real,SW08,Aberdeenshire,2019-20,522.1996115,11291,21622
Real,SW08,Aberdeenshire,2020-21,203.7314449,4488,22029
Real,SW08,Aberdeenshire,2021-22,270.4059363,6195,22910
Real,SW08,Aberdeenshire,2022-23,490.091663,11228,22910
Real,SW08,Aberdeenshire,2023-24,435.1811436,9970,22910
Real,SW08,Angus,2016-17,264.8584304,3115,11761
Real,SW08,Angus,2017-18,418.7233331,5005,11953
Real,SW08,Angus,2018-19,314.3842931,3827,12173
Real,SW08,Angus,2019-20,252.0914668,3164,12551
Real,SW08,Angus,2020-21,237.9089059,3040,12778
Real,SW08,Angus,2021-22,220.8518462,2883,13054
Real,SW08,Angus,2022-23,222.3839436,2903,13054
Real,SW08,Angus,2023-24,125.5553853,1639,13054
Real,SW08,Argyll & Bute,2016-17,421.7461168,3937,9335
Real,SW08,Argyll & Bute,2017-18,625.1188338,5918,9467
Real,SW08,Argyll & Bute,2018-19,640.2034039,6169,9636
Real,SW08,Argyll & Bute,2019-20,539.6024619,5348,9911
Real,SW08,Argyll & Bute,2020-21,342.957043,3433,10010
Real,SW08,Argyll & Bute,2021-22,570.0078003,5846,10256
Real,SW08,Argyll & Bute,2022-23,803.8221529,8244,10256
Real,SW08,Argyll & Bute,2023-24,611.7394696,6274,10256
Real,SW08,Clackmannanshire,2016-17,492.8716904,1936,3928
Real,SW08,Clackmannanshire,2017-18,379.0282598,1529,4034
Real,SW08,Clackmannanshire,2018-19,654.2527631,2723,4162
Real,SW08,Clackmannanshire,2019-20,309.7386075,1339,4323
Real,SW08,Clackmannanshire,2020-21,586.6247756,2614,4456
Real,SW08,Clackmannanshire,2021-22,718.3530442,3280,4566
Real,SW08,Clackmannanshire,2022-23,720.9811652,3292,4566
Real,SW08,Clackmannanshire,2023-24,409.9868594,1872,4566
Real,SW08,Dumfries & Galloway,2016-17,441.7148069,7264,16445
Real,SW08,Dumfries & Galloway,2017-18,554.2219037,9281,16746
Real,SW08,Dumfries & Galloway,2018-19,607.5243573,10351,17038
Real,SW08,Dumfries & Galloway,2019-20,786.9002111,13792,17527
Real,SW08,Dumfries & Galloway,2020-21,257.4507493,4587,17817
Real,SW08,Dumfries & Galloway,2021-22,783.4773515,14235,18169
Real,SW08,Dumfries & Galloway,2022-23,1346.689416,24468,18169
Real,SW08,Dumfries & Galloway,2023-24,881.6115361,16018,18169
Real,SW08,Dundee City,2016-17,532.8014185,6611,12408
Real,SW08,Dundee City,2017-18,349.2166572,4302,12319
Real,SW08,Dundee City,2018-19,372.1786065,4551,12228
Real,SW08,Dundee City,2019-20,443.2670362,5438,12268
Real,SW08,Dundee City,2020-21,326.8027659,3970,12148
Real,SW08,Dundee City,2021-22,795.2014412,9711,12212
Real,SW08,Dundee City,2022-23,801.9980347,9794,12212
Real,SW08,Dundee City,2023-24,342.5319358,4183,12212
Real,SW08,East Ayrshire,2016-17,356.1080658,3638,10216
Real,SW08,East Ayrshire,2017-18,336.8482718,3450,10242
Real,SW08,East Ayrshire,2018-19,386.5343864,4013,10382
Real,SW08,East Ayrshire,2019-20,240.1534288,2567,10689
Real,SW08,East Ayrshire,2020-21,196.3218391,2135,10875
Real,SW08,East Ayrshire,2021-22,392.957364,4341,11047
Real,SW08,East Ayrshire,2022-23,654.1142392,7226,11047
Real,SW08,East Ayrshire,2023-24,413.6869738,4570,11047
Real,SW08,East Dunbartonshire,2016-17,142.0171868,1570,11055
Real,SW08,East Dunbartonshire,2017-18,227.8729479,2554,11208
Real,SW08,East Dunbartonshire,2018-19,356.8173852,4072,11412
Real,SW08,East Dunbartonshire,2019-20,324.5778612,3806,11726
Real,SW08,East Dunbartonshire,2020-21,303.9348711,3584,11792
Real,SW08,East Dunbartonshire,2021-22,340.4576314,4062,11931
Real,SW08,East Dunbartonshire,2022-23,493.1690554,5884,11931
Real,SW08,East Dunbartonshire,2023-24,261.9227223,3125,11931
Real,SW08,East Lothian,2016-17,919.4733955,8381,9115
Real,SW08,East Lothian,2017-18,774.8606944,7231,9332
Real,SW08,East Lothian,2018-19,640.6697044,6046,9437
Real,SW08,East Lothian,2019-20,326.9834837,3227,9869
Real,SW08,East Lothian,2020-21,257.7914966,2589,10043
Real,SW08,East Lothian,2021-22,153.195579,1594,10405
Real,SW08,East Lothian,2022-23,206.3431043,2147,10405
Real,SW08,East Lothian,2023-24,122.729457,1277,10405
Real,SW08,East Renfrewshire,2016-17,129.631728,1144,8825
Real,SW08,East Renfrewshire,2017-18,117.4166107,1049,8934
